date,height,discharge
1922-04-15,19.42,18200
1924-03-26,15.56,11000
1928-03-01,16.36,12900
1928-05-15,17.60,15300
1937-01-15,24.26,37700
1937-01-16,19.60,19800
1937-01-25,21.50,27600
1939-06-19,20.08,22000
1939-06-20,19.24,19000
1939-06-20,17.81,12800
1940-04-21,18.74,18800
1940-04-22,15.66,11800
1942-12-29,17.20,13500
1943-03-19,21.32,25200
1944-04-12,15.60,11700
1945-03-07,15.68,11500
1945-03-20,18.76,18700
1946-06-20,17.88,15500
1947-06-04,18.64,18200
1948-04-14,20.60,22900
1950-01-06,19.31,16300
1950-01-11,17.35,15200
1951-01-04,20.15,19300
1951-02-13,17.65,15300
1952-01-02,15.26,10300
1952-01-18,18.03,15700
1952-01-28,20.46,22800
1955-02-22,17.24,13800
1956-02-26,16.95,12200
1957-04-05,19.05,16900
1957-12-20,16.37,11500
1959-01-22,24.79,45100
1959-01-25,15.66,10800
1964-03-06,15.50,11700
1966-12-12,14.73,10200
1968-01-30,15.34,11300
1968-05-26,17.27,11400
1968-05-28,15.42,10500
1975-02-25,18.22,16700
1980-06-04,17.20,14900
1990-08-28,5.95,364
1990-10-02,5.86,332
1990-12-07,12.19,6870
1991-03-25,10.05,4150
1991-04-30,6.28,566
1991-06-21,5.23,129
1991-08-13,5.26,164
1991-08-15,5.11,97.9
1991-10-24,5.15,120
1991-12-17,5.11,109
1992-02-14,5.53,238
1992-05-21,5.47,228
1992-06-15,5.40,183
1992-07-27,13.40,8140
1992-10-13,5.19,123
1992-12-14,6.43,618
1993-02-10,6.76,846
1993-06-15,6.46,643
1993-08-10,6.39,608
1993-10-13,5.30,109
1994-03-03,6.76,833
1994-03-03,5.36,150
1994-04-22,7.03,994
1994-07-21,5.72,306
1994-11-07,6.31,659
1995-01-12,6.05,453
1995-04-04,6.34,560
1995-06-07,8.12,1750
1995-06-23,9.49,3550
1995-08-04,8.39,1970
1995-10-06,7.72,1320
1995-12-12,5.62,256
1996-03-15,7.47,1400
1996-05-01,15.03,11400
1996-06-19,7.19,1030
1996-08-23,5.36,178
1996-10-17,5.27,129
1996-12-24,10.97,5550
1997-02-19,6.54,743
1997-04-11,6.27,514
1997-05-23,6.71,811
1997-06-06,12.25,6620
1997-07-31,5.43,228
1997-11-04,5.39,220
1997-12-16,6.05,451
1998-02-20,11.64,6240
1998-05-04,9.45,3540
1998-06-25,6.86,871
1998-08-26,5.62,274
1998-10-09,5.46,235
1998-12-18,5.25,161
1999-02-23,5.68,311
1999-04-26,8.53,2440
1999-06-18,5.76,346
1999-08-20,5.10,113
1999-10-21,5.11,117
1999-12-10,6.13,532
2000-02-18,11.38,6130
2000-05-09,6.41,690
2000-07-03,6.14,526
2000-08-28,5.60,293
2000-10-16,5.30,171
2000-12-08,5.36,188
2001-03-01,6.78,920
2001-04-23,11.14,5840
2001-06-19,5.80,358
2001-11-19,5.22,164
2001-12-18,16.65,14100
2002-04-02,9.70,3950
2002-06-12,7.01,1060
2002-08-09,5.10,141
2002-09-03,5.08,137
2002-11-21,6.10,479
2003-01-28,5.66,304
2003-04-30,5.84,376
2003-06-13,10.62,5170
2003-07-30,7.60,1590
2003-09-02,17.00,13300
2003-12-11,11.32,5580
2004-01-05,20.15,19100
2004-04-07,6.98,1080
2004-05-26,12.30,7340
2004-07-16,5.91,429
2004-09-16,5.53,257
2004-10-22,5.26,187
2004-12-21,5.99,491
2005-01-07,21.53,22900
2005-03-03,7.48,1540
2005-04-28,12.40,7480
2005-06-17,5.57,336
2005-08-12,5.23,195
2005-08-25,5.12,172
2005-10-04,6.50,763
2005-12-21,5.75,383
2006-03-17,11.69,6560
2006-04-24,6.52,763
2006-06-29,7.15,1110
2006-08-16,5.27,214
2006-10-04,5.96,488
2006-12-15,7.21,1130
2007-01-17,15.57,12200
2007-03-22,9.80,4070
2007-05-30,5.87,456
2007-08-28,6.57,802
2007-10-25,8.19,2020
2007-12-20,8.49,2340
2008-05-12,11.90,6790
2008-06-20,6.62,825
2008-09-03,5.05,94.7
2008-09-23,4.97,127
2008-11-18,5.09,160
2008-12-30,10.33,4510
2009-03-06,6.33,659
2009-06-15,5.37,256
2009-08-27,5.22,196
2009-11-30,5.52,298
2010-01-29,7.98,1810
2010-05-24,7.73,1570
2010-07-29,5.62,322
2010-11-09,5.06,139
2011-01-05,7.51,1310
2011-03-10,19.17,17500
2011-03-10,19.17,17500
2011-05-20,11.16,5870
2011-07-21,6.86,916
2011-09-26,8.89,2580
2011-11-25,10.54,4590
2012-01-23,8.05,1830
2012-03-12,7.02,992
2012-05-10,12.03,7040
2012-07-12,4.95,119
2012-07-12,4.95,129
2012-09-25,6.27,671
2012-11-23,7.08,1040
2013-01-28,7.03,1020
2013-03-15,9.18,3050
2013-06-03,7.75,1800
2013-07-30,7.74,1500
2013-09-18,4.87,62.5
2013-09-18,4.84,59.1
2013-11-20,10.71,5180
2014-02-21,16.75,15500
2014-04-30,13.15,8590
2014-08-18,5.46,270
2014-09-25,5.03,145
2014-12-10,5.68,354
2015-02-11,8.84,2710
2015-04-01,6.83,983
2015-06-23,11.97,7350
2015-08-26,5.37,256
2015-11-02,6.64,829
2016-01-07,6.87,972
2016-02-23,6.94,996
2016-06-30,7.86,1700
2016-08-23,6.47,696
2016-11-04,5.16,191
2016-12-28,11.27,5750
2017-03-03,11.40,5710
2017-07-18,9.12,2840
2017-10-03,5.00,137
2018-01-31,7.75,1670
