Reading,Receive,Value,Unit,Data Quality
2024-11-19 22:17:24,2024-11-19 22:17:24,24.23,in,A
2024-11-19 08:47:59,2024-11-19 08:47:59,24.23,in,A
2024-11-19 08:38:01,2024-11-19 08:38:01,24.19,in,A
2024-11-19 07:50:31,2024-11-19 07:50:31,24.15,in,A
2024-11-14 10:17:14,2024-11-14 10:17:14,24.03,in,A
2024-11-14 07:54:55,2024-11-14 07:54:55,24.03,in,A
2024-11-14 06:44:49,2024-11-14 06:44:49,23.99,in,A
2024-11-14 06:42:48,2024-11-14 06:42:48,23.96,in,A
2024-11-14 06:38:52,2024-11-14 06:38:52,23.92,in,A
2024-11-14 06:04:46,2024-11-14 06:04:46,23.88,in,A
2024-11-14 05:49:15,2024-11-14 05:49:15,23.84,in,A
2024-11-14 05:30:14,2024-11-14 05:30:14,23.80,in,A
2024-11-14 04:54:48,2024-11-14 04:54:48,23.76,in,A
2024-11-14 04:39:22,2024-11-14 04:39:22,23.72,in,A
2024-11-14 04:31:03,2024-11-14 04:31:03,23.68,in,A
2024-11-14 04:22:43,2024-11-14 04:22:43,23.64,in,A
2024-11-14 04:11:30,2024-11-14 04:11:30,23.60,in,A
2024-11-14 03:59:39,2024-11-14 03:59:39,23.56,in,A
2024-11-14 03:49:52,2024-11-14 03:49:52,23.52,in,A
2024-11-14 03:36:34,2024-11-14 03:36:34,23.48,in,A
2024-11-14 03:18:22,2024-11-14 03:18:22,23.44,in,A
2024-11-14 03:00:04,2024-11-14 03:00:04,23.40,in,A
2024-11-14 02:39:33,2024-11-14 02:39:33,23.36,in,AN
2024-11-06 10:17:00,2024-11-06 10:17:00,23.32,in,A
2024-11-06 05:40:28,2024-11-06 05:40:28,23.32,in,A
2024-11-06 04:53:01,2024-11-06 04:53:01,23.29,in,A
2024-11-06 04:36:45,2024-11-06 04:36:45,23.25,in,A
2024-11-05 10:16:59,2024-11-05 10:16:59,23.05,in,A
2024-11-04 22:16:58,2024-11-04 22:16:58,23.05,in,A
2024-11-04 10:16:58,2024-11-04 10:16:58,23.05,in,A
2024-11-03 22:16:57,2024-11-03 22:16:57,23.05,in,A
2024-10-31 11:16:45,2024-10-31 11:16:45,23.05,in,A
2024-10-30 23:16:44,2024-10-30 23:16:44,23.05,in,A
2024-10-30 11:16:44,2024-10-30 11:16:44,23.05,in,A
2024-10-29 23:16:43,2024-10-29 23:16:43,23.05,in,A
2024-10-29 11:16:42,2024-10-29 11:16:42,23.05,in,A
2024-10-24 23:16:35,2024-10-24 23:16:35,22.97,in,A
2024-10-23 11:16:32,2024-10-23 11:16:32,22.97,in,A
2024-10-22 23:16:32,2024-10-22 23:16:32,22.97,in,A
2024-10-22 11:16:31,2024-10-22 11:16:31,22.97,in,A
2024-10-20 11:16:28,2024-10-20 11:16:28,22.97,in,A
2024-10-19 23:16:27,2024-10-19 23:16:27,22.97,in,A
2024-10-15 23:16:20,2024-10-15 23:16:20,22.97,in,A
2024-10-13 23:16:16,2024-10-13 23:16:16,22.62,in,A
2024-10-13 11:16:15,2024-10-13 11:16:15,22.62,in,A
2024-10-12 23:16:15,2024-10-12 23:16:15,22.62,in,A
2024-10-12 11:16:14,2024-10-12 11:16:14,22.62,in,A
2024-10-11 23:16:13,2024-10-11 23:16:13,22.62,in,A
2024-10-09 23:16:10,2024-10-09 23:16:10,22.62,in,A
2024-10-08 23:16:08,2024-10-08 23:16:08,22.62,in,A
2024-10-07 23:16:07,2024-10-07 23:16:07,22.62,in,A
2024-10-07 11:16:06,2024-10-07 11:16:06,22.62,in,A
2024-10-06 23:16:05,2024-10-06 23:16:06,22.62,in,A
2024-10-06 11:16:05,2024-10-06 11:16:05,22.62,in,A
2024-10-05 23:16:04,2024-10-05 23:16:04,22.62,in,A
2024-10-05 11:16:03,2024-10-05 11:16:03,22.62,in,A
2024-10-04 11:16:02,2024-10-04 11:16:02,22.62,in,A
2024-10-03 23:16:01,2024-10-03 23:16:01,22.62,in,A
2024-10-03 11:16:01,2024-10-03 11:16:01,22.62,in,A
