Reading,Receive,Value,Unit,Data Quality
2024-11-22 15:15:10,2024-11-22 15:15:10,26.95,in,A
2024-11-22 12:14:13,2024-11-22 12:14:13,26.91,in,A
2024-11-22 12:13:26,2024-11-22 12:13:26,26.87,in,A
2024-11-22 00:16:24,2024-11-22 00:16:24,26.87,in,A
2024-11-21 12:19:21,2024-11-21 12:19:21,26.87,in,A
2024-11-21 00:22:19,2024-11-21 00:22:19,26.87,in,A
2024-11-20 13:40:02,2024-11-20 13:40:02,26.87,in,A
2024-11-20 12:25:16,2024-11-20 12:25:16,26.83,in,A
2024-11-20 12:13:01,2024-11-20 12:13:01,26.83,in,A
2024-11-20 00:28:14,2024-11-20 00:28:14,26.79,in,A
2024-11-19 12:31:12,2024-11-19 12:31:12,26.79,in,A
2024-11-19 10:18:45,2024-11-19 10:18:45,26.79,in,A
2024-11-19 09:25:52,2024-11-19 09:25:52,26.75,in,A
2024-11-19 08:38:43,2024-11-19 08:38:43,26.71,in,A
2024-11-19 05:53:02,2024-11-19 05:53:02,26.67,in,A
2024-11-19 00:34:10,2024-11-19 00:34:10,26.63,in,A
2024-11-18 12:37:08,2024-11-18 12:37:08,26.63,in,A
2024-11-18 00:40:06,2024-11-18 00:40:06,26.63,in,A
2024-11-17 12:43:03,2024-11-17 12:43:03,26.63,in,A
2024-11-17 00:46:01,2024-11-17 00:46:01,26.63,in,A
2024-11-16 12:48:59,2024-11-16 12:48:59,26.63,in,A
2024-11-16 00:51:56,2024-11-16 00:51:56,26.63,in,A
2024-11-15 12:54:54,2024-11-15 12:54:54,26.63,in,A
2024-11-15 00:57:52,2024-11-15 00:57:52,26.63,in,A
2024-11-14 15:36:51,2024-11-14 15:36:51,26.63,in,A
2024-11-14 13:00:50,2024-11-14 13:00:50,26.60,in,A
2024-11-14 07:42:32,2024-11-14 07:42:32,26.60,in,A
2024-11-14 06:31:09,2024-11-14 06:31:09,26.56,in,A
2024-11-14 06:10:12,2024-11-14 06:10:12,26.52,in,A
2024-11-14 05:53:34,2024-11-14 05:53:34,26.48,in,A
2024-11-14 05:36:00,2024-11-14 05:36:00,26.44,in,A
2024-11-14 05:16:53,2024-11-14 05:16:53,26.40,in,A
2024-11-14 05:00:16,2024-11-14 05:00:16,26.36,in,A
2024-11-14 04:46:31,2024-11-14 04:46:31,26.32,in,A
2024-11-14 04:36:34,2024-11-14 04:36:34,26.28,in,A
2024-11-14 04:28:42,2024-11-14 04:28:42,26.24,in,A
2024-11-14 04:18:11,2024-11-14 04:18:11,26.20,in,A
2024-11-14 04:08:14,2024-11-14 04:08:14,26.16,in,A
2024-11-14 04:00:38,2024-11-14 04:00:38,26.12,in,A
2024-11-14 03:52:35,2024-11-14 03:52:35,26.08,in,A
2024-11-14 03:42:50,2024-11-14 03:42:50,26.04,in,A
2024-11-14 03:32:52,2024-11-14 03:32:52,26.00,in,A
2024-11-14 03:21:19,2024-11-14 03:21:19,25.96,in,A
2024-11-14 03:09:55,2024-11-14 03:09:55,25.93,in,A
2024-11-14 02:46:37,2024-11-14 02:46:37,25.89,in,A
2024-11-14 02:24:09,2024-11-14 02:24:09,25.85,in,A
2024-11-14 01:38:29,2024-11-14 01:38:29,25.81,in,A
2024-11-14 01:03:48,2024-11-14 01:03:48,25.77,in,A
2024-11-13 13:06:45,2024-11-13 13:06:45,25.77,in,A
2024-11-13 01:09:43,2024-11-13 01:09:43,25.77,in,A
2024-11-12 13:12:41,2024-11-12 13:12:41,25.77,in,A
2024-11-12 01:15:39,2024-11-12 01:15:39,25.77,in,A
2024-11-11 13:18:36,2024-11-11 13:18:36,25.77,in,A
2024-11-11 01:21:34,2024-11-11 01:21:34,25.77,in,A
2024-11-10 14:03:37,2024-11-10 14:03:37,25.77,in,A
2024-11-10 13:24:32,2024-11-10 13:24:32,25.73,in,A
2024-11-10 13:06:04,2024-11-10 13:06:04,25.73,in,A
2024-11-10 12:26:37,2024-11-10 12:26:37,25.69,in,A
2024-11-10 11:42:47,2024-11-10 11:42:47,25.65,in,A
2024-11-10 11:17:18,2024-11-10 11:17:18,25.61,in,A
2024-11-10 10:29:21,2024-11-10 10:29:21,25.57,in,A
2024-11-10 10:07:43,2024-11-10 10:07:43,25.53,in,A
2024-11-10 09:43:40,2024-11-10 09:43:40,25.49,in,A
2024-11-10 09:22:12,2024-11-10 09:22:12,25.45,in,A
2024-11-10 08:56:48,2024-11-10 08:56:48,25.41,in,A
2024-11-10 08:37:57,2024-11-10 08:37:57,25.37,in,A
2024-11-10 08:32:38,2024-11-10 08:32:38,25.33,in,A
2024-11-10 08:10:10,2024-11-10 08:10:10,25.29,in,A
2024-11-10 07:58:40,2024-11-10 07:58:40,25.26,in,A
2024-11-10 07:43:20,2024-11-10 07:43:20,25.22,in,A
2024-11-10 07:36:54,2024-11-10 07:36:54,25.18,in,A
2024-11-10 07:33:59,2024-11-10 07:33:59,25.14,in,A
2024-11-10 07:09:40,2024-11-10 07:09:40,25.10,in,A
2024-11-10 06:43:25,2024-11-10 06:43:25,25.06,in,A
2024-11-10 06:05:19,2024-11-10 06:05:19,25.02,in,A
2024-11-10 05:33:14,2024-11-10 05:33:14,24.98,in,A
2024-11-10 04:36:12,2024-11-10 04:36:12,24.94,in,A
2024-11-10 01:27:30,2024-11-10 01:27:30,24.90,in,A
2024-11-09 13:30:28,2024-11-09 13:30:28,24.90,in,A
2024-11-09 01:33:26,2024-11-09 01:33:26,24.90,in,A
2024-11-08 13:36:23,2024-11-08 13:36:23,24.90,in,A
2024-11-08 01:39:21,2024-11-08 01:39:21,24.90,in,A
2024-11-07 13:42:19,2024-11-07 13:42:19,24.90,in,A
2024-11-07 01:45:17,2024-11-07 01:45:17,24.90,in,A
2024-11-06 13:48:15,2024-11-06 13:48:15,24.90,in,A
2024-11-06 07:05:06,2024-11-06 07:05:06,24.90,in,A
2024-11-06 05:47:28,2024-11-06 05:47:28,24.86,in,A
2024-11-06 05:29:54,2024-11-06 05:29:54,24.82,in,A
2024-11-06 04:56:29,2024-11-06 04:56:29,24.78,in,A
2024-11-06 04:48:19,2024-11-06 04:48:19,24.74,in,A
2024-11-06 04:25:46,2024-11-06 04:25:46,24.70,in,A
2024-11-06 04:07:13,2024-11-06 04:07:13,24.66,in,A
2024-11-06 01:51:13,2024-11-06 01:51:13,24.62,in,A
