Reading,Receive,Value,Unit,Data Quality
2024-10-06 08:02:30,2024-10-06 08:02:30,30.89,in,A
2024-10-04 08:02:30,2024-10-04 08:02:30,30.89,in,A
2024-10-03 08:02:30,2024-10-03 08:02:30,30.89,in,AN
2024-09-25 08:02:27,2024-09-25 08:02:27,30.65,in,A
2024-09-24 06:36:58,2024-09-24 06:36:58,30.61,in,A
2024-09-24 06:29:35,2024-09-24 06:29:35,30.57,in,A
2024-09-24 06:23:07,2024-09-24 06:23:07,30.54,in,A
2024-09-24 06:19:14,2024-09-24 06:19:14,30.38,in,AN
2024-09-23 22:07:51,2024-09-23 22:07:51,30.34,in,AN
2024-09-21 11:02:34,2024-09-21 11:02:34,30.14,in,A
2024-09-21 08:02:29,2024-09-21 08:02:29,30.14,in,A
2024-09-20 10:55:44,2024-09-20 10:55:44,30.14,in,A
2024-09-20 08:02:30,2024-09-20 08:02:30,30.14,in,A
2024-09-19 08:02:30,2024-09-19 08:02:30,30.14,in,A
2024-09-17 08:02:31,2024-09-17 08:02:31,30.14,in,A
2024-09-16 08:02:31,2024-09-16 08:02:31,30.14,in,A
2024-09-15 11:35:05,2024-09-15 11:35:05,30.14,in,A
2024-09-14 11:42:20,2024-09-14 11:42:20,30.14,in,A
2024-09-12 10:03:48,2024-09-12 10:03:48,30.14,in,A
2024-09-12 08:02:33,2024-09-12 08:02:33,30.14,in,A
2024-09-11 10:36:28,2024-09-11 10:36:28,30.14,in,A
2024-09-11 08:02:33,2024-09-11 08:02:33,30.14,in,A
2024-09-10 10:42:11,2024-09-10 10:42:11,30.14,in,A
2024-09-09 10:28:14,2024-09-09 10:28:14,30.14,in,A
2024-09-07 10:19:56,2024-09-07 10:19:56,30.06,in,A
2024-09-06 10:11:35,2024-09-06 10:11:35,30.02,in,A
2024-09-05 20:02:35,2024-09-05 20:02:35,30.02,in,A
2024-09-05 10:18:55,2024-09-05 10:18:55,30.02,in,A
2024-09-05 08:02:35,2024-09-05 08:02:35,30.02,in,A
2024-09-03 10:32:50,2024-09-03 10:32:50,30.02,in,A
2024-09-03 08:02:37,2024-09-03 08:02:37,30.02,in,A
2024-09-02 10:16:17,2024-09-02 10:16:17,30.02,in,A
2024-09-02 08:02:31,2024-09-02 08:02:31,30.02,in,A
2024-09-02 00:34:56,2024-09-02 00:34:56,29.98,in,A
2024-09-01 18:16:46,2024-09-01 18:16:46,29.98,in,A
2024-09-01 18:13:55,2024-09-01 18:13:55,29.94,in,A
2024-09-01 18:08:08,2024-09-01 18:08:08,29.90,in,A
2024-09-01 10:19:23,2024-09-01 10:19:23,29.87,in,A
2024-09-01 08:02:31,2024-09-01 08:02:31,29.87,in,A
2024-08-31 06:34:57,2024-08-31 06:34:57,29.87,in,A
2024-08-30 12:06:07,2024-08-30 12:06:07,29.83,in,A
2024-08-29 08:02:32,2024-08-29 08:02:32,29.83,in,A
2024-08-28 12:36:50,2024-08-28 12:36:50,29.83,in,A
2024-08-28 08:02:32,2024-08-28 08:02:32,29.83,in,A
2024-08-27 11:09:42,2024-08-27 11:09:42,29.83,in,A
2024-08-27 08:02:32,2024-08-27 08:02:32,29.83,in,A
2024-08-25 20:02:35,2024-08-25 20:02:35,29.83,in,A
2024-08-25 09:31:58,2024-08-25 09:31:58,29.83,in,A
2024-08-24 09:17:18,2024-08-24 09:17:18,29.83,in,A
2024-08-24 08:02:34,2024-08-24 08:02:34,29.83,in,A
2024-08-23 09:14:27,2024-08-23 09:14:27,29.83,in,A
2024-08-22 09:06:41,2024-08-22 09:06:41,29.83,in,A
2024-08-21 09:34:36,2024-08-21 09:34:36,29.83,in,A
2024-08-21 08:02:35,2024-08-21 08:02:35,29.83,in,A
2024-08-20 09:31:25,2024-08-20 09:31:25,29.83,in,A
2024-08-19 09:38:58,2024-08-19 09:38:58,29.83,in,A
2024-08-18 09:37:50,2024-08-18 09:37:50,29.83,in,A
2024-08-18 09:37:45,2024-08-18 09:37:45,29.79,in,A
2024-08-17 20:03:02,2024-08-17 20:03:02,29.79,in,A
2024-08-17 09:17:34,2024-08-17 09:17:34,29.75,in,A
2024-08-17 08:02:37,2024-08-17 08:02:37,29.75,in,A
2024-08-16 20:02:37,2024-08-16 20:02:37,29.75,in,A
2024-08-16 09:19:56,2024-08-16 09:19:56,29.75,in,A
2024-08-16 08:02:37,2024-08-16 08:02:37,29.75,in,A
2024-08-15 20:02:37,2024-08-15 20:02:37,29.75,in,A
2024-08-14 20:02:51,2024-08-14 20:02:51,29.75,in,A
2024-08-14 20:02:38,2024-08-14 20:02:38,29.75,in,A
2024-08-14 08:02:38,2024-08-14 08:02:38,29.75,in,A
2024-08-13 20:02:40,2024-08-13 20:02:40,29.75,in,A
2024-08-12 20:02:40,2024-08-12 20:02:40,29.75,in,A
2024-08-11 20:02:41,2024-08-11 20:02:41,29.75,in,A
2024-08-11 08:39:56,2024-08-11 08:39:56,29.75,in,A
2024-08-11 08:02:39,2024-08-11 08:02:39,29.75,in,A
2024-08-10 08:02:39,2024-08-10 08:02:39,29.75,in,A
2024-08-09 20:02:41,2024-08-09 20:02:41,29.75,in,A
2024-08-08 20:02:40,2024-08-08 20:02:40,29.75,in,A
2024-08-08 08:02:42,2024-08-08 08:02:42,29.75,in,A
2024-08-07 20:02:42,2024-08-07 20:02:42,29.75,in,A
2024-08-06 20:20:28,2024-08-06 20:20:28,29.75,in,A
2024-08-06 20:16:03,2024-08-06 20:16:03,29.71,in,A
2024-08-06 20:08:04,2024-08-06 20:08:04,29.67,in,A
2024-08-06 20:02:57,2024-08-06 20:02:57,29.59,in,A
2024-08-06 20:02:42,2024-08-06 20:02:42,29.55,in,A
2024-08-06 20:00:41,2024-08-06 20:00:41,29.55,in,A
2024-08-06 19:58:41,2024-08-06 19:58:41,29.51,in,A
2024-08-06 19:55:14,2024-08-06 19:55:14,29.47,in,A
2024-08-06 19:16:22,2024-08-06 19:16:22,29.43,in,A
2024-08-06 19:14:07,2024-08-06 19:14:07,29.39,in,A
2024-08-06 19:09:00,2024-08-06 19:09:00,29.35,in,A
2024-08-06 19:04:59,2024-08-06 19:04:59,29.31,in,A
2024-08-06 19:03:39,2024-08-06 19:03:39,29.27,in,A
2024-08-06 19:02:40,2024-08-06 19:02:40,29.23,in,A
2024-08-06 19:01:42,2024-08-06 19:01:42,29.20,in,A
