Reading,Receive,Value,Unit,Data Quality
2024-11-22 14:45:38,2024-11-22 14:45:38,24.39,in,A
2024-11-22 13:58:37,2024-11-22 13:58:37,24.35,in,A
2024-11-22 08:33:09,2024-11-22 08:33:09,24.35,in,A
2024-11-22 01:58:36,2024-11-22 01:58:36,24.31,in,A
2024-11-21 13:58:36,2024-11-21 13:58:36,24.31,in,A
2024-11-21 11:54:16,2024-11-21 11:54:16,24.31,in,A
2024-11-21 01:58:36,2024-11-21 01:58:36,24.27,in,A
2024-11-20 14:47:13,2024-11-20 14:47:13,24.27,in,A
2024-11-20 13:58:35,2024-11-20 13:58:35,24.23,in,A
2024-11-20 13:28:36,2024-11-20 13:28:36,24.23,in,A
2024-11-20 13:15:58,2024-11-20 13:15:58,24.19,in,A
2024-11-20 02:49:46,2024-11-20 02:49:46,24.15,in,A
2024-11-20 01:58:34,2024-11-20 01:58:34,24.11,in,A
2024-11-19 13:58:34,2024-11-19 13:58:34,24.11,in,A
2024-11-19 09:27:48,2024-11-19 09:27:48,24.11,in,A
2024-11-19 01:58:34,2024-11-19 01:58:34,24.07,in,A
2024-11-18 13:58:34,2024-11-18 13:58:34,24.07,in,A
2024-11-18 01:58:34,2024-11-18 01:58:34,24.07,in,A
2024-11-17 13:58:33,2024-11-17 13:58:33,24.07,in,A
2024-11-17 01:58:33,2024-11-17 01:58:33,24.07,in,A
2024-11-16 13:58:33,2024-11-16 13:58:33,24.07,in,A
2024-11-16 01:58:33,2024-11-16 01:58:33,24.07,in,A
2024-11-15 13:58:33,2024-11-15 13:58:33,24.07,in,A
2024-11-15 11:41:30,2024-11-15 11:41:30,24.07,in,A
2024-11-15 01:58:31,2024-11-15 01:58:31,24.03,in,A
2024-11-14 17:49:45,2024-11-14 17:49:45,24.03,in,A
2024-11-14 13:58:31,2024-11-14 13:58:31,23.99,in,A
2024-11-14 10:50:44,2024-11-14 10:50:44,23.99,in,A
2024-11-14 07:16:16,2024-11-14 07:16:16,23.96,in,A
2024-11-14 06:37:23,2024-11-14 06:37:23,23.92,in,A
2024-11-14 06:10:06,2024-11-14 06:10:06,23.88,in,A
2024-11-14 05:46:01,2024-11-14 05:46:01,23.84,in,A
2024-11-14 05:20:38,2024-11-14 05:20:38,23.80,in,A
2024-11-14 05:03:57,2024-11-14 05:03:57,23.76,in,A
2024-11-14 04:57:16,2024-11-14 04:57:16,23.72,in,A
2024-11-14 04:47:11,2024-11-14 04:47:11,23.68,in,A
2024-11-14 04:34:00,2024-11-14 04:34:00,23.64,in,A
2024-11-14 04:16:10,2024-11-14 04:16:10,23.60,in,A
2024-11-14 03:20:38,2024-11-14 03:20:38,23.52,in,A
