Reading,Receive,Value,Unit,Data Quality
2024-11-22 13:13:01,2024-11-22 13:13:01,20.29,in,A
2024-11-22 11:19:23,2024-11-22 11:19:23,20.25,in,A
2024-11-22 08:24:14,2024-11-22 08:24:14,20.25,in,A
2024-11-21 23:22:18,2024-11-21 23:22:18,20.21,in,A
2024-11-21 11:25:13,2024-11-21 11:25:13,20.21,in,A
2024-11-20 23:28:08,2024-11-20 23:28:08,20.21,in,A
2024-11-20 13:47:13,2024-11-20 13:47:13,20.21,in,A
2024-11-20 12:27:55,2024-11-20 12:27:55,20.17,in,A
2024-11-20 12:19:00,2024-11-20 12:19:00,20.13,in,A
2024-11-20 11:31:04,2024-11-20 11:31:04,20.09,in,A
2024-11-19 23:33:59,2024-11-19 23:33:59,20.09,in,A
2024-11-19 11:36:54,2024-11-19 11:36:54,20.09,in,A
2024-11-19 09:54:10,2024-11-19 09:54:10,20.09,in,A
2024-11-19 09:39:34,2024-11-19 09:39:34,20.05,in,A
2024-11-19 09:10:47,2024-11-19 09:10:47,20.02,in,A
2024-11-19 06:06:17,2024-11-19 06:06:17,19.98,in,A
2024-11-18 23:39:50,2024-11-18 23:39:50,19.94,in,A
2024-11-18 11:42:45,2024-11-18 11:42:45,19.94,in,A
2024-11-17 23:45:40,2024-11-17 23:45:40,19.94,in,A
2024-11-17 11:48:35,2024-11-17 11:48:35,19.94,in,A
2024-11-16 23:51:31,2024-11-16 23:51:31,19.94,in,A
2024-11-16 11:54:26,2024-11-16 11:54:26,19.94,in,A
2024-11-15 23:57:21,2024-11-15 23:57:21,19.94,in,A
2024-11-15 12:00:16,2024-11-15 12:00:16,19.94,in,A
2024-11-15 00:03:12,2024-11-15 00:03:12,19.94,in,A
2024-11-14 12:06:07,2024-11-14 12:06:07,19.94,in,A
2024-11-14 10:35:44,2024-11-14 10:35:44,19.94,in,A
2024-11-14 07:36:43,2024-11-14 07:36:43,19.90,in,A
2024-11-14 06:22:22,2024-11-14 06:22:22,19.86,in,A
2024-11-14 06:03:25,2024-11-14 06:03:25,19.82,in,A
2024-11-14 05:49:49,2024-11-14 05:49:49,19.78,in,A
2024-11-14 05:38:47,2024-11-14 05:38:47,19.74,in,A
2024-11-14 05:23:08,2024-11-14 05:23:08,19.70,in,A
2024-11-14 05:04:53,2024-11-14 05:04:53,19.66,in,A
2024-11-14 04:51:55,2024-11-14 04:51:55,19.62,in,A
2024-11-14 04:42:18,2024-11-14 04:42:18,19.58,in,A
2024-11-14 04:31:33,2024-11-14 04:31:33,19.54,in,A
2024-11-14 04:21:25,2024-11-14 04:21:25,19.50,in,A
2024-11-14 04:14:03,2024-11-14 04:14:03,19.46,in,A
2024-11-14 04:07:59,2024-11-14 04:07:59,19.42,in,A
2024-11-14 03:59:44,2024-11-14 03:59:44,19.38,in,A
2024-11-14 03:52:47,2024-11-14 03:52:47,19.35,in,A
2024-11-14 03:44:30,2024-11-14 03:44:30,19.31,in,A
2024-11-14 03:34:26,2024-11-14 03:34:26,19.27,in,A
2024-11-14 03:21:22,2024-11-14 03:21:22,19.23,in,A
2024-11-14 03:09:10,2024-11-14 03:09:10,19.19,in,A
2024-11-14 02:41:41,2024-11-14 02:41:41,19.15,in,A
2024-11-14 02:22:10,2024-11-14 02:22:10,19.11,in,A
2024-11-14 01:31:50,2024-11-14 01:31:50,19.07,in,A
2024-11-14 00:09:02,2024-11-14 00:09:02,19.03,in,A
2024-11-13 12:11:57,2024-11-13 12:11:57,19.03,in,A
2024-11-13 00:14:52,2024-11-13 00:14:52,19.03,in,A
2024-11-12 12:17:48,2024-11-12 12:17:48,19.03,in,A
2024-11-12 00:20:43,2024-11-12 00:20:43,19.03,in,A
2024-11-11 12:23:38,2024-11-11 12:23:38,19.03,in,A
2024-11-11 00:26:33,2024-11-11 00:26:33,19.03,in,A
2024-11-10 14:12:53,2024-11-10 14:12:53,18.99,in,A
2024-11-10 13:18:04,2024-11-10 13:18:04,18.95,in,A
2024-11-10 12:45:35,2024-11-10 12:45:35,18.91,in,A
2024-11-10 12:29:28,2024-11-10 12:29:28,18.87,in,A
2024-11-10 11:57:44,2024-11-10 11:57:44,18.87,in,A
2024-11-10 11:19:53,2024-11-10 11:19:53,18.83,in,A
2024-11-10 10:52:39,2024-11-10 10:52:39,18.79,in,A
2024-11-10 10:28:43,2024-11-10 10:28:43,18.75,in,A
2024-11-10 09:52:53,2024-11-10 09:52:53,18.72,in,A
2024-11-10 09:41:52,2024-11-10 09:41:52,18.68,in,A
2024-11-10 09:20:23,2024-11-10 09:20:23,18.64,in,A
2024-11-10 08:56:07,2024-11-10 08:56:07,18.60,in,A
2024-11-10 08:41:41,2024-11-10 08:41:41,18.56,in,A
2024-11-10 08:25:14,2024-11-10 08:25:14,18.52,in,A
2024-11-10 08:08:08,2024-11-10 08:08:08,18.48,in,A
2024-11-10 07:57:21,2024-11-10 07:57:21,18.44,in,A
2024-11-10 07:43:15,2024-11-10 07:43:15,18.40,in,A
2024-11-10 07:40:42,2024-11-10 07:40:42,18.36,in,A
2024-11-10 07:38:35,2024-11-10 07:38:35,18.32,in,A
2024-11-10 07:17:27,2024-11-10 07:17:27,18.28,in,A
2024-11-10 06:53:21,2024-11-10 06:53:21,18.24,in,A
2024-11-10 06:17:06,2024-11-10 06:17:06,18.20,in,A
2024-11-10 05:48:56,2024-11-10 05:48:56,18.16,in,A
2024-11-10 05:30:50,2024-11-10 05:30:50,18.12,in,A
2024-11-10 04:42:57,2024-11-10 04:42:57,18.08,in,A
2024-11-10 00:32:24,2024-11-10 00:32:24,18.05,in,A
2024-11-09 12:35:19,2024-11-09 12:35:19,18.05,in,A
2024-11-09 00:38:14,2024-11-09 00:38:14,18.05,in,A
2024-11-08 12:41:10,2024-11-08 12:41:10,18.05,in,A
2024-11-08 00:44:05,2024-11-08 00:44:05,18.05,in,A
2024-11-07 12:47:00,2024-11-07 12:47:00,18.05,in,A
2024-11-07 00:49:56,2024-11-07 00:49:56,18.05,in,A
2024-11-06 12:52:51,2024-11-06 12:52:51,18.05,in,A
2024-11-06 07:27:55,2024-11-06 07:27:55,18.05,in,A
2024-11-06 06:12:38,2024-11-06 06:12:38,18.01,in,A
2024-11-06 05:34:44,2024-11-06 05:34:44,17.97,in,A
2024-11-06 05:09:42,2024-11-06 05:09:42,17.93,in,A
2024-11-06 04:54:49,2024-11-06 04:54:49,17.89,in,A
2024-11-06 04:46:54,2024-11-06 04:46:54,17.85,in,A
