Reading,Receive,Value,Unit,Data Quality
2024-10-20 12:17:47,2024-10-20 12:17:47,19.31,in,A
2024-10-20 00:20:42,2024-10-20 00:20:42,19.31,in,A
2024-10-19 12:23:36,2024-10-19 12:23:36,19.31,in,A
2024-10-19 00:26:31,2024-10-19 00:26:31,19.31,in,A
2024-10-18 12:29:26,2024-10-18 12:29:26,19.31,in,A
2024-10-18 00:32:20,2024-10-18 00:32:20,19.31,in,A
2024-10-17 12:35:15,2024-10-17 12:35:15,19.31,in,A
2024-10-17 00:38:10,2024-10-17 00:38:10,19.31,in,A
2024-10-16 12:41:05,2024-10-16 12:41:05,19.31,in,A
2024-10-16 00:43:59,2024-10-16 00:43:59,19.31,in,A
2024-10-15 12:56:25,2024-10-15 12:56:25,19.31,in,A
2024-10-15 12:46:54,2024-10-15 12:46:54,19.27,in,A
2024-10-15 00:49:49,2024-10-15 00:49:49,19.27,in,A
2024-10-14 12:52:43,2024-10-14 12:52:43,19.27,in,A
2024-10-14 00:55:38,2024-10-14 00:55:38,19.27,in,A
2024-10-13 12:58:33,2024-10-13 12:58:33,19.27,in,A
2024-10-13 01:01:28,2024-10-13 01:01:28,19.27,in,A
2024-10-12 13:04:23,2024-10-12 13:04:23,19.27,in,A
2024-10-12 01:07:18,2024-10-12 01:07:18,19.27,in,A
2024-10-11 13:10:13,2024-10-11 13:10:13,19.27,in,A
2024-10-11 01:13:08,2024-10-11 01:13:08,19.27,in,A
2024-10-10 01:18:57,2024-10-10 01:18:57,19.27,in,A
2024-10-09 13:21:52,2024-10-09 13:21:52,19.27,in,A
2024-10-09 01:24:47,2024-10-09 01:24:47,19.27,in,A
2024-10-08 13:27:42,2024-10-08 13:27:42,19.27,in,A
2024-10-08 01:30:37,2024-10-08 01:30:37,19.27,in,A
2024-10-07 13:33:32,2024-10-07 13:33:32,19.27,in,A
2024-10-07 01:36:27,2024-10-07 01:36:27,19.27,in,A
2024-10-06 13:39:22,2024-10-06 13:39:22,19.27,in,A
2024-10-06 01:42:16,2024-10-06 01:42:16,19.27,in,A
2024-10-05 13:45:11,2024-10-05 13:45:11,19.27,in,A
2024-10-05 01:48:06,2024-10-05 01:48:06,19.27,in,A
2024-10-04 13:51:01,2024-10-04 13:51:01,19.27,in,A
2024-10-04 01:53:56,2024-10-04 01:53:56,19.27,in,A
2024-10-03 13:56:51,2024-10-03 13:56:51,19.27,in,A
2024-10-03 01:59:46,2024-10-03 01:59:46,19.27,in,A
2024-10-02 14:02:41,2024-10-02 14:02:41,19.27,in,A
2024-10-02 02:05:29,2024-10-02 02:05:29,19.27,in,A
2024-10-01 22:38:53,2024-10-01 22:38:53,19.27,in,A
2024-10-01 21:53:16,2024-10-01 21:53:16,19.23,in,A
2024-10-01 14:08:24,2024-10-01 14:08:24,19.19,in,A
2024-10-01 02:11:19,2024-10-01 02:11:19,19.19,in,A
2024-09-30 14:37:29,2024-09-30 14:37:29,19.19,in,A
2024-09-30 14:14:14,2024-09-30 14:14:14,19.15,in,A
2024-09-30 02:17:09,2024-09-30 02:17:09,19.15,in,A
2024-09-29 16:39:07,2024-09-29 16:39:07,19.15,in,A
2024-09-29 15:42:04,2024-09-29 15:42:04,19.11,in,A
2024-09-29 14:23:42,2024-09-29 14:23:42,19.07,in,A
2024-09-29 14:20:04,2024-09-29 14:20:04,19.03,in,A
2024-09-29 11:59:25,2024-09-29 11:59:25,19.03,in,A
2024-09-29 11:18:05,2024-09-29 11:18:05,18.99,in,A
2024-09-29 10:44:44,2024-09-29 10:44:44,18.95,in,A
2024-09-29 10:10:27,2024-09-29 10:10:27,18.91,in,A
2024-09-29 09:26:06,2024-09-29 09:26:06,18.83,in,A
2024-09-29 09:05:47,2024-09-29 09:05:47,18.79,in,A
2024-09-29 08:56:28,2024-09-29 08:56:28,18.75,in,A
2024-09-29 08:47:29,2024-09-29 08:47:29,18.72,in,A
2024-09-29 08:39:40,2024-09-29 08:39:40,18.68,in,A
