Reading,Receive,Value,Unit,Data Quality
2024-11-22 12:56:14,2024-11-22 12:56:14,19.23,in,A
2024-11-22 11:25:26,2024-11-22 11:25:26,19.19,in,A
2024-11-22 09:26:41,2024-11-22 09:26:41,19.19,in,A
2024-11-21 23:28:20,2024-11-21 23:28:20,19.15,in,A
2024-11-21 11:31:14,2024-11-21 11:31:14,19.15,in,A
2024-11-21 09:29:28,2024-11-21 09:29:28,19.15,in,A
2024-11-20 23:34:08,2024-11-20 23:34:08,19.11,in,A
2024-11-20 15:04:48,2024-11-20 15:04:48,19.11,in,A
2024-11-20 13:01:33,2024-11-20 13:01:33,19.07,in,A
2024-11-20 11:37:02,2024-11-20 11:37:02,19.03,in,A
2024-11-19 23:39:56,2024-11-19 23:39:56,19.03,in,A
2024-11-19 11:42:51,2024-11-19 11:42:51,19.03,in,A
2024-11-19 10:41:27,2024-11-19 10:41:27,19.03,in,A
2024-11-19 10:10:30,2024-11-19 10:10:30,18.99,in,A
2024-11-19 09:49:31,2024-11-19 09:49:31,18.95,in,A
2024-11-19 06:23:57,2024-11-19 06:23:57,18.91,in,A
2024-11-18 23:45:45,2024-11-18 23:45:45,18.87,in,A
2024-11-18 11:48:39,2024-11-18 11:48:39,18.87,in,A
2024-11-17 23:51:33,2024-11-17 23:51:33,18.87,in,A
2024-11-17 11:54:27,2024-11-17 11:54:27,18.87,in,A
2024-11-16 23:57:21,2024-11-16 23:57:21,18.87,in,A
2024-11-16 12:00:16,2024-11-16 12:00:16,18.87,in,A
2024-11-16 00:03:10,2024-11-16 00:03:10,18.87,in,A
2024-11-15 12:06:04,2024-11-15 12:06:04,18.87,in,A
2024-11-15 00:08:58,2024-11-15 00:08:58,18.87,in,A
2024-11-14 20:06:07,2024-11-14 20:06:07,18.87,in,A
2024-11-14 12:11:52,2024-11-14 12:11:52,18.83,in,A
2024-11-14 11:16:12,2024-11-14 11:16:12,18.83,in,A
2024-11-14 10:53:32,2024-11-14 10:53:32,18.79,in,A
2024-11-14 08:28:31,2024-11-14 08:28:31,18.75,in,A
2024-11-14 07:20:54,2024-11-14 07:20:54,18.72,in,A
2024-11-14 06:48:58,2024-11-14 06:48:58,18.68,in,A
2024-11-14 06:24:03,2024-11-14 06:24:03,18.64,in,A
2024-11-14 05:53:41,2024-11-14 05:53:41,18.60,in,A
2024-11-14 05:27:56,2024-11-14 05:27:56,18.56,in,A
2024-11-14 04:55:56,2024-11-14 04:55:56,18.52,in,A
2024-11-14 04:29:17,2024-11-14 04:29:17,18.48,in,A
2024-11-14 03:55:27,2024-11-14 03:55:27,18.44,in,A
2024-11-14 03:26:23,2024-11-14 03:26:23,18.40,in,A
2024-11-14 02:43:18,2024-11-14 02:43:18,18.36,in,A
2024-11-14 02:01:11,2024-11-14 02:01:11,18.32,in,A
2024-11-14 00:14:46,2024-11-14 00:14:46,18.28,in,A
2024-11-13 12:17:40,2024-11-13 12:17:40,18.28,in,A
2024-11-13 00:20:34,2024-11-13 00:20:34,18.28,in,A
2024-11-12 12:23:29,2024-11-12 12:23:29,18.28,in,A
2024-11-12 00:26:23,2024-11-12 00:26:23,18.28,in,A
2024-11-11 12:29:17,2024-11-11 12:29:17,18.28,in,A
2024-11-11 00:32:11,2024-11-11 00:32:11,18.28,in,A
2024-11-10 14:36:44,2024-11-10 14:36:44,18.28,in,A
2024-11-10 13:31:36,2024-11-10 13:31:36,18.24,in,A
2024-11-10 12:40:38,2024-11-10 12:40:38,18.20,in,A
2024-11-10 12:35:05,2024-11-10 12:35:05,18.16,in,A
2024-11-10 12:08:46,2024-11-10 12:08:46,18.16,in,A
2024-11-10 11:31:25,2024-11-10 11:31:25,18.12,in,A
2024-11-10 10:58:41,2024-11-10 10:58:41,18.08,in,A
2024-11-10 10:32:18,2024-11-10 10:32:18,18.05,in,A
2024-11-10 10:11:21,2024-11-10 10:11:21,18.01,in,A
2024-11-10 09:51:18,2024-11-10 09:51:18,17.97,in,A
2024-11-10 09:35:12,2024-11-10 09:35:12,17.93,in,A
2024-11-10 09:15:04,2024-11-10 09:15:04,17.89,in,A
2024-11-10 08:58:22,2024-11-10 08:58:22,17.85,in,A
2024-11-10 08:36:07,2024-11-10 08:36:07,17.81,in,A
2024-11-10 08:18:58,2024-11-10 08:18:58,17.77,in,A
2024-11-10 07:57:56,2024-11-10 07:57:56,17.73,in,A
2024-11-10 07:22:16,2024-11-10 07:22:16,17.69,in,A
2024-11-10 06:32:45,2024-11-10 06:32:45,17.65,in,A
2024-11-10 06:10:52,2024-11-10 06:10:52,17.61,in,A
2024-11-10 05:42:36,2024-11-10 05:42:36,17.57,in,A
2024-11-10 05:08:07,2024-11-10 05:08:07,17.53,in,A
2024-11-10 00:38:00,2024-11-10 00:38:00,17.49,in,A
2024-11-09 12:40:54,2024-11-09 12:40:54,17.49,in,A
2024-11-09 00:43:48,2024-11-09 00:43:48,17.49,in,A
2024-11-08 12:46:42,2024-11-08 12:46:42,17.49,in,A
2024-11-08 00:49:36,2024-11-08 00:49:36,17.49,in,A
2024-11-07 12:52:31,2024-11-07 12:52:31,17.49,in,A
2024-11-07 00:55:25,2024-11-07 00:55:25,17.49,in,A
2024-11-06 12:58:20,2024-11-06 12:58:20,17.49,in,A
2024-11-06 07:15:27,2024-11-06 07:15:27,17.49,in,A
2024-11-06 06:00:40,2024-11-06 06:00:40,17.45,in,A
2024-11-06 05:42:22,2024-11-06 05:42:22,17.41,in,A
2024-11-06 05:24:41,2024-11-06 05:24:41,17.38,in,A
2024-11-06 05:12:28,2024-11-06 05:12:28,17.34,in,A
2024-11-06 05:05:06,2024-11-06 05:05:06,17.30,in,A
2024-11-06 04:44:03,2024-11-06 04:44:03,17.26,in,A
2024-11-06 04:26:15,2024-11-06 04:26:15,17.22,in,A
2024-11-06 01:01:14,2024-11-06 01:01:14,17.18,in,A
2024-11-05 13:04:08,2024-11-05 13:04:08,17.18,in,A
2024-11-05 01:07:03,2024-11-05 01:07:03,17.18,in,A
2024-11-04 13:09:57,2024-11-04 13:09:57,17.18,in,A
2024-11-04 01:12:51,2024-11-04 01:12:51,17.18,in,A
2024-11-03 13:15:46,2024-11-03 13:15:46,17.18,in,A
2024-11-03 01:18:40,2024-11-03 01:18:40,17.18,in,A
2024-11-02 14:21:34,2024-11-02 14:21:34,17.18,in,A
2024-11-02 02:24:22,2024-11-02 02:24:22,17.18,in,A
2024-11-01 14:27:17,2024-11-01 14:27:17,17.18,in,A
2024-11-01 02:30:11,2024-11-01 02:30:11,17.18,in,A
2024-10-31 14:33:05,2024-10-31 14:33:05,17.18,in,A
2024-10-31 02:36:00,2024-10-31 02:36:00,17.18,in,A
2024-10-30 14:38:54,2024-10-30 14:38:54,17.18,in,A
2024-10-30 02:41:48,2024-10-30 02:41:48,17.18,in,A
2024-10-28 14:50:31,2024-10-28 14:50:31,17.18,in,A
2024-10-28 02:53:26,2024-10-28 02:53:26,17.18,in,A
2024-10-27 14:56:20,2024-10-27 14:56:20,17.18,in,A
2024-10-27 02:59:14,2024-10-27 02:59:14,17.18,in,A
2024-10-26 15:02:08,2024-10-26 15:02:08,17.18,in,A
2024-10-26 03:05:02,2024-10-26 03:05:02,17.18,in,A
2024-10-25 15:07:57,2024-10-25 15:07:57,17.18,in,A
2024-10-25 03:10:51,2024-10-25 03:10:51,17.18,in,A
2024-10-24 15:13:45,2024-10-24 15:13:45,17.18,in,A
2024-10-24 03:16:39,2024-10-24 03:16:39,17.18,in,A
2024-10-23 15:19:34,2024-10-23 15:19:34,17.18,in,A
2024-10-23 03:22:28,2024-10-23 03:22:28,17.18,in,A
2024-10-22 15:25:22,2024-10-22 15:25:22,17.18,in,A
2024-10-22 03:28:17,2024-10-22 03:28:17,17.18,in,A
2024-10-21 15:31:11,2024-10-21 15:31:11,17.18,in,A
2024-10-21 03:34:05,2024-10-21 03:34:05,17.18,in,A
2024-10-20 15:37:00,2024-10-20 15:37:00,17.18,in,A
2024-10-20 03:39:54,2024-10-20 03:39:54,17.18,in,A
2024-10-19 15:42:48,2024-10-19 15:42:48,17.18,in,A
2024-10-19 03:45:42,2024-10-19 03:45:42,17.18,in,A
2024-10-18 15:48:36,2024-10-18 15:48:36,17.18,in,A
2024-10-18 03:51:31,2024-10-18 03:51:31,17.18,in,A
2024-10-17 15:54:25,2024-10-17 15:54:25,17.18,in,A
2024-10-17 03:57:19,2024-10-17 03:57:19,17.18,in,A
2024-10-16 16:00:13,2024-10-16 16:00:13,17.18,in,A
