Reading,Receive,Value,Unit,Data Quality
2024-11-06 04:10:32,2024-11-06 04:11:09,3.47,in,A
2024-11-06 03:36:33,2024-11-06 03:37:09,3.43,in,A
2024-11-06 03:10:01,2024-11-06 03:11:09,3.35,in,A
2024-11-06 02:55:19,2024-11-06 02:57:09,3.31,in,A
2024-11-06 02:44:28,2024-11-06 02:45:09,3.27,in,A
2024-11-06 02:36:25,2024-11-06 02:37:09,3.23,in,A
2024-11-05 08:35:02,2024-11-05 08:35:09,2.99,in,A
2024-11-04 08:35:02,2024-11-04 08:35:09,2.99,in,A
2024-10-31 21:35:02,2024-10-31 21:35:04,2.99,in,A
2024-10-31 09:35:03,2024-10-31 09:35:04,2.99,in,A
2024-10-30 09:35:02,2024-10-30 09:35:04,2.99,in,A
2024-10-29 21:35:02,2024-10-29 21:35:04,2.99,in,A
2024-10-26 09:35:02,2024-10-26 09:35:05,2.99,in,A
2024-10-24 09:35:02,2024-10-24 09:35:05,2.88,in,A
2024-10-23 09:35:02,2024-10-23 09:35:10,2.88,in,A
2024-10-22 21:35:02,2024-10-22 21:35:05,2.88,in,A
2024-10-22 09:35:02,2024-10-22 09:35:06,2.88,in,A
2024-10-21 09:35:02,2024-10-21 09:35:06,2.88,in,A
2024-10-20 09:35:02,2024-10-20 09:35:06,2.88,in,A
2024-10-19 09:35:02,2024-10-19 09:35:06,2.88,in,A
2024-10-18 09:35:03,2024-10-18 09:35:06,2.88,in,A
2024-10-12 09:35:02,2024-10-12 09:35:07,2.84,in,A
2024-10-11 21:35:02,2024-10-11 21:35:07,2.84,in,A
2024-10-11 09:35:02,2024-10-11 09:35:08,2.84,in,A
2024-10-10 09:35:02,2024-10-10 09:35:08,2.84,in,A
2024-10-09 09:35:02,2024-10-09 09:35:08,2.84,in,A
2024-10-08 09:35:02,2024-10-08 09:35:08,2.84,in,A
2024-10-07 09:35:02,2024-10-07 09:35:08,2.84,in,A
2024-10-06 21:35:02,2024-10-06 21:35:08,2.84,in,A
2024-10-06 09:35:02,2024-10-06 09:35:08,2.84,in,A
