Reading,Receive,Value,Unit,Data Quality
2024-09-21 11:02:35,2024-09-21 11:02:35,6.82,in,A
2024-09-20 10:55:48,2024-09-20 10:55:48,6.82,in,A
2024-09-18 11:16:37,2024-09-18 11:16:37,6.82,in,A
2024-09-17 10:54:56,2024-09-17 10:54:56,6.82,in,A
2024-09-15 11:35:10,2024-09-15 11:35:10,6.82,in,A
2024-09-14 11:42:22,2024-09-14 11:42:22,6.82,in,A
2024-09-13 11:46:17,2024-09-13 11:46:17,6.82,in,A
2024-09-12 10:36:52,2024-09-12 10:36:52,6.82,in,A
2024-09-11 10:36:52,2024-09-11 10:36:52,6.82,in,A
2024-09-11 10:36:32,2024-09-11 10:36:32,6.82,in,A
2024-09-10 10:42:14,2024-09-10 10:42:14,6.82,in,A
2024-09-09 10:36:52,2024-09-09 10:36:52,6.82,in,A
2024-09-09 10:28:17,2024-09-09 10:28:17,6.82,in,A
2024-09-08 10:36:52,2024-09-08 10:36:52,6.82,in,A
2024-09-07 10:36:52,2024-09-07 10:36:52,6.82,in,A
2024-09-06 10:36:52,2024-09-06 10:36:52,6.82,in,A
2024-09-06 10:11:39,2024-09-06 10:11:39,6.82,in,A
2024-09-05 10:36:52,2024-09-05 10:36:52,6.82,in,A
2024-09-05 10:18:59,2024-09-05 10:18:59,6.82,in,A
2024-09-04 10:36:52,2024-09-04 10:36:52,6.82,in,A
2024-09-03 10:36:52,2024-09-03 10:36:52,6.82,in,A
2024-09-03 10:32:53,2024-09-03 10:32:53,6.82,in,A
2024-09-02 10:36:46,2024-09-02 10:36:46,6.82,in,A
2024-09-02 10:16:14,2024-09-02 10:16:14,6.82,in,A
2024-09-01 10:36:46,2024-09-01 10:36:46,6.82,in,A
2024-09-01 10:19:27,2024-09-01 10:19:27,6.82,in,A
2024-08-31 13:18:47,2024-08-31 13:18:47,6.82,in,A
2024-08-30 12:06:10,2024-08-30 12:06:10,6.82,in,A
2024-08-29 10:57:27,2024-08-29 10:57:27,6.82,in,A
2024-08-28 12:36:53,2024-08-28 12:36:53,6.78,in,A
2024-08-27 11:09:45,2024-08-27 11:09:45,6.78,in,A
2024-08-26 10:36:45,2024-08-26 10:36:45,6.78,in,A
2024-08-26 09:20:16,2024-08-26 09:20:16,6.78,in,A
2024-08-25 10:36:45,2024-08-25 10:36:45,6.78,in,A
2024-08-25 09:32:03,2024-08-25 09:32:03,6.78,in,A
2024-08-24 10:36:44,2024-08-24 10:36:44,6.78,in,A
2024-08-24 09:17:24,2024-08-24 09:17:24,6.78,in,A
2024-08-23 10:36:44,2024-08-23 10:36:44,6.78,in,A
2024-08-23 09:14:31,2024-08-23 09:14:31,6.78,in,A
2024-08-22 10:36:44,2024-08-22 10:36:44,6.78,in,A
2024-08-22 09:06:45,2024-08-22 09:06:45,6.78,in,A
2024-08-21 10:36:44,2024-08-21 10:36:44,6.78,in,A
2024-08-21 09:34:39,2024-08-21 09:34:39,6.78,in,A
2024-08-20 10:36:44,2024-08-20 10:36:44,6.78,in,A
2024-08-20 09:31:28,2024-08-20 09:31:28,6.78,in,A
2024-08-19 10:39:23,2024-08-19 10:39:23,6.78,in,A
2024-08-19 09:39:02,2024-08-19 09:39:02,6.78,in,A
2024-08-18 10:36:45,2024-08-18 10:36:45,6.78,in,A
2024-08-18 09:37:48,2024-08-18 09:37:48,6.78,in,A
2024-08-17 10:36:45,2024-08-17 10:36:45,6.78,in,A
2024-08-17 09:17:38,2024-08-17 09:17:38,6.78,in,A
2024-08-16 10:47:44,2024-08-16 10:47:44,6.78,in,A
2024-08-15 10:36:45,2024-08-15 10:36:45,6.78,in,A
2024-08-14 10:36:44,2024-08-14 10:36:44,6.78,in,A
2024-08-14 08:38:24,2024-08-14 08:38:24,6.78,in,A
2024-08-13 10:36:44,2024-08-13 10:36:44,6.78,in,A
2024-08-13 08:48:24,2024-08-13 08:48:24,6.78,in,A
2024-08-12 10:36:44,2024-08-12 10:36:44,6.78,in,A
2024-08-12 08:43:16,2024-08-12 08:43:16,6.78,in,A
2024-08-11 10:36:44,2024-08-11 10:36:44,6.78,in,A
2024-08-10 10:36:44,2024-08-10 10:36:44,6.78,in,A
2024-08-10 08:37:52,2024-08-10 08:37:52,6.78,in,A
2024-08-09 10:36:44,2024-08-09 10:36:44,6.78,in,A
2024-08-08 22:36:44,2024-08-08 22:36:44,6.78,in,A
2024-08-08 10:36:44,2024-08-08 10:36:44,6.78,in,A
2024-08-07 22:36:44,2024-08-07 22:36:44,6.78,in,A
2024-08-07 10:36:44,2024-08-07 10:36:44,6.78,in,A
2024-08-06 22:36:44,2024-08-06 22:36:44,6.78,in,A
2024-08-06 10:36:44,2024-08-06 10:36:44,6.78,in,A
2024-08-05 22:36:44,2024-08-05 22:36:44,6.78,in,A
2024-08-05 10:36:44,2024-08-05 10:36:44,6.78,in,A
2024-08-04 22:36:44,2024-08-04 22:36:44,6.78,in,A
2024-08-04 10:36:44,2024-08-04 10:36:44,6.78,in,A
2024-08-03 22:40:05,2024-08-03 22:40:05,6.78,in,A
2024-08-03 22:36:44,2024-08-03 22:36:44,6.74,in,A
2024-08-03 10:36:43,2024-08-03 10:36:43,6.74,in,A
2024-08-02 22:36:43,2024-08-02 22:36:43,6.74,in,A
2024-08-02 10:36:37,2024-08-02 10:36:37,6.74,in,A
2024-08-01 22:36:37,2024-08-01 22:36:37,6.74,in,A
2024-08-01 10:36:37,2024-08-01 10:36:37,6.74,in,A
2024-07-31 22:36:37,2024-07-31 22:36:37,6.74,in,A
2024-07-31 10:36:37,2024-07-31 10:36:37,6.74,in,A
2024-07-30 22:36:37,2024-07-30 22:36:37,6.74,in,A
2024-07-30 14:30:35,2024-07-30 14:30:35,6.74,in,A
2024-07-30 10:36:37,2024-07-30 10:36:37,6.70,in,A
2024-07-29 22:36:37,2024-07-29 22:36:37,6.70,in,A
2024-07-29 10:36:37,2024-07-29 10:36:37,6.70,in,A
2024-07-28 22:36:37,2024-07-28 22:36:37,6.70,in,A
2024-07-28 10:36:37,2024-07-28 10:36:37,6.70,in,A
2024-07-27 22:36:37,2024-07-27 22:36:37,6.70,in,A
2024-07-27 10:36:37,2024-07-27 10:36:37,6.70,in,A
2024-07-26 22:36:37,2024-07-26 22:36:37,6.70,in,A
2024-07-26 10:36:37,2024-07-26 10:36:37,6.70,in,A
2024-07-25 22:36:37,2024-07-25 22:36:37,6.70,in,A
2024-07-25 10:36:37,2024-07-25 10:36:37,6.70,in,A
2024-07-24 22:36:37,2024-07-24 22:36:37,6.70,in,A
2024-07-24 10:36:37,2024-07-24 10:36:37,6.70,in,A
2024-07-23 22:36:37,2024-07-23 22:36:37,6.70,in,A
2024-07-23 10:36:37,2024-07-23 10:36:37,6.70,in,A
2024-07-22 22:36:37,2024-07-22 22:36:37,6.70,in,A
2024-07-22 14:34:09,2024-07-22 14:34:09,6.70,in,A
2024-07-22 10:36:37,2024-07-22 10:36:37,6.66,in,A
2024-07-21 22:36:37,2024-07-21 22:36:37,6.66,in,A
2024-07-21 10:36:34,2024-07-21 10:36:34,6.66,in,A
2024-07-20 22:36:35,2024-07-20 22:36:35,6.66,in,A
2024-07-20 10:36:34,2024-07-20 10:36:34,6.66,in,A
2024-07-19 22:36:34,2024-07-19 22:36:34,6.66,in,A
2024-07-19 10:36:34,2024-07-19 10:36:34,6.66,in,A
2024-07-18 22:36:34,2024-07-18 22:36:34,6.66,in,A
2024-07-18 10:36:34,2024-07-18 10:36:34,6.66,in,A
2024-07-17 22:36:34,2024-07-17 22:36:34,6.66,in,A
2024-07-17 10:36:34,2024-07-17 10:36:34,6.66,in,A
2024-07-16 22:36:34,2024-07-16 22:36:34,6.66,in,A
2024-07-16 10:36:34,2024-07-16 10:36:34,6.66,in,A
2024-07-15 22:36:34,2024-07-15 22:36:34,6.66,in,A
2024-07-15 10:36:34,2024-07-15 10:36:34,6.66,in,A
2024-07-14 22:36:34,2024-07-14 22:36:34,6.66,in,A
2024-07-14 10:36:34,2024-07-14 10:36:34,6.66,in,A
2024-07-13 22:36:34,2024-07-13 22:36:34,6.66,in,A
2024-07-13 10:36:34,2024-07-13 10:36:34,6.66,in,A
2024-07-12 22:36:34,2024-07-12 22:36:34,6.66,in,A
2024-07-12 10:36:34,2024-07-12 10:36:34,6.66,in,A
2024-07-11 22:36:34,2024-07-11 22:36:34,6.66,in,A
2024-07-11 10:36:34,2024-07-11 10:36:34,6.66,in,A
2024-07-10 22:36:34,2024-07-10 22:36:34,6.66,in,A
2024-07-10 10:36:34,2024-07-10 10:36:34,6.66,in,A
2024-07-09 22:36:34,2024-07-09 22:36:34,6.66,in,A
2024-07-09 10:36:34,2024-07-09 10:36:34,6.66,in,A
2024-07-08 22:36:34,2024-07-08 22:36:34,6.66,in,A
2024-07-08 10:36:33,2024-07-08 10:36:33,6.66,in,A
2024-07-08 10:03:04,2024-07-08 10:03:04,6.66,in,A
2024-07-07 22:36:33,2024-07-07 22:36:33,6.62,in,A
2024-07-07 10:36:33,2024-07-07 10:36:33,6.62,in,A
2024-07-06 22:36:33,2024-07-06 22:36:33,6.62,in,A
2024-07-06 10:36:33,2024-07-06 10:36:33,6.62,in,A
2024-07-06 05:07:29,2024-07-06 05:07:29,6.62,in,A
2024-07-05 22:36:33,2024-07-05 22:36:33,6.58,in,A
2024-07-05 10:36:33,2024-07-05 10:36:33,6.58,in,A
2024-07-05 04:41:25,2024-07-05 04:41:25,6.58,in,A
2024-07-04 22:36:33,2024-07-04 22:36:33,6.54,in,A
2024-07-04 19:33:41,2024-07-04 19:33:41,6.54,in,A
2024-07-04 10:36:33,2024-07-04 10:36:33,6.50,in,A
2024-07-04 07:35:32,2024-07-04 07:35:32,6.50,in,A
2024-07-04 00:00:55,2024-07-04 00:00:55,6.46,in,A
2024-07-03 22:36:33,2024-07-03 22:36:33,6.42,in,A
2024-07-03 20:38:13,2024-07-03 20:38:13,6.42,in,A
2024-07-03 19:10:17,2024-07-03 19:10:17,6.38,in,A
2024-07-03 17:15:06,2024-07-03 17:15:06,6.26,in,A
2024-07-03 16:58:00,2024-07-03 16:58:00,6.23,in,A
2024-07-03 16:47:18,2024-07-03 16:47:18,6.19,in,A
2024-07-03 16:39:14,2024-07-03 16:39:14,6.15,in,A
2024-07-03 16:30:11,2024-07-03 16:30:11,6.11,in,A
2024-07-03 16:20:03,2024-07-03 16:20:03,6.07,in,A
2024-07-03 16:07:18,2024-07-03 16:07:18,6.03,in,A
2024-07-03 15:55:34,2024-07-03 15:55:34,5.99,in,A
2024-07-03 10:36:33,2024-07-03 10:36:33,5.95,in,A
2024-07-02 22:36:33,2024-07-02 22:36:33,5.95,in,A
2024-07-02 10:36:27,2024-07-02 10:36:27,5.95,in,A
2024-07-01 22:36:27,2024-07-01 22:36:27,5.95,in,A
2024-07-01 10:36:27,2024-07-01 10:36:27,5.95,in,A
2024-06-30 22:36:27,2024-06-30 22:36:27,5.95,in,A
2024-06-30 10:36:27,2024-06-30 10:36:27,5.95,in,A
2024-06-29 22:36:27,2024-06-29 22:36:27,5.95,in,A
2024-06-29 10:36:27,2024-06-29 10:36:27,5.95,in,A
2024-06-28 22:36:27,2024-06-28 22:36:27,5.95,in,A
2024-06-28 10:36:27,2024-06-28 10:36:27,5.95,in,A
2024-06-27 22:36:27,2024-06-27 22:36:27,5.95,in,A
2024-06-27 10:36:27,2024-06-27 10:36:27,5.95,in,A
2024-06-27 07:37:21,2024-06-27 07:37:21,5.95,in,A
2024-06-27 04:23:51,2024-06-27 04:23:51,5.91,in,A
2024-06-27 01:49:10,2024-06-27 01:49:10,5.87,in,A
2024-06-26 23:50:41,2024-06-26 23:50:41,5.83,in,A
2024-06-26 22:36:27,2024-06-26 22:36:27,5.79,in,A
2024-06-26 22:23:41,2024-06-26 22:23:41,5.79,in,A
2024-06-26 21:16:40,2024-06-26 21:16:40,5.75,in,A
2024-06-26 20:19:52,2024-06-26 20:19:52,5.71,in,A
2024-06-26 19:29:11,2024-06-26 19:29:11,5.67,in,A
2024-06-26 18:48:32,2024-06-26 18:48:32,5.63,in,A
