Reading,Receive,Value,Unit,Data Quality
2024-11-22 14:05:05,2024-11-22 14:05:05,28.88,in,A
2024-11-22 12:53:33,2024-11-22 12:53:33,28.88,in,A
2024-11-22 02:07:58,2024-11-22 02:07:58,28.84,in,A
2024-11-21 14:10:52,2024-11-21 14:10:52,28.84,in,A
2024-11-21 12:05:52,2024-11-21 12:05:52,28.84,in,A
2024-11-21 02:13:46,2024-11-21 02:13:46,28.80,in,A
2024-11-20 14:58:02,2024-11-20 14:58:02,28.80,in,A
2024-11-20 14:16:39,2024-11-20 14:16:39,28.76,in,A
2024-11-20 12:21:37,2024-11-20 12:21:37,28.76,in,A
2024-11-20 02:19:33,2024-11-20 02:19:33,28.72,in,A
2024-11-19 14:22:27,2024-11-19 14:22:27,28.72,in,A
2024-11-19 09:46:15,2024-11-19 09:46:15,28.72,in,A
2024-11-19 09:19:46,2024-11-19 09:19:46,28.68,in,A
2024-11-19 05:57:46,2024-11-19 05:57:46,28.64,in,A
2024-11-19 02:25:21,2024-11-19 02:25:21,28.60,in,A
2024-11-18 14:28:15,2024-11-18 14:28:15,28.60,in,A
2024-11-18 02:31:09,2024-11-18 02:31:09,28.60,in,A
2024-11-17 14:34:03,2024-11-17 14:34:03,28.60,in,A
2024-11-17 02:36:57,2024-11-17 02:36:57,28.60,in,A
2024-11-16 14:39:51,2024-11-16 14:39:51,28.60,in,A
2024-11-16 02:42:45,2024-11-16 02:42:45,28.60,in,A
2024-11-15 14:45:39,2024-11-15 14:45:39,28.60,in,A
2024-11-15 02:48:33,2024-11-15 02:48:33,28.60,in,A
2024-11-14 15:44:46,2024-11-14 15:44:46,28.60,in,A
2024-11-14 14:51:27,2024-11-14 14:51:27,28.56,in,A
2024-11-14 08:56:39,2024-11-14 08:56:39,28.56,in,A
2024-11-14 08:01:53,2024-11-14 08:01:53,28.53,in,A
2024-11-14 06:46:50,2024-11-14 06:46:50,28.49,in,A
2024-11-14 06:23:51,2024-11-14 06:23:51,28.45,in,A
2024-11-14 06:08:48,2024-11-14 06:08:48,28.41,in,A
2024-11-14 05:49:11,2024-11-14 05:49:11,28.37,in,A
2024-11-14 05:29:23,2024-11-14 05:29:23,28.33,in,A
2024-11-14 05:16:02,2024-11-14 05:16:02,28.29,in,A
2024-11-14 05:06:47,2024-11-14 05:06:47,28.25,in,A
2024-11-14 04:56:56,2024-11-14 04:56:56,28.21,in,A
2024-11-14 04:48:29,2024-11-14 04:48:29,28.17,in,A
2024-11-14 04:40:09,2024-11-14 04:40:09,28.13,in,A
2024-11-14 04:31:58,2024-11-14 04:31:58,28.09,in,A
2024-11-14 04:22:41,2024-11-14 04:22:41,28.05,in,A
2024-11-14 04:12:25,2024-11-14 04:12:25,28.01,in,A
