Reading,Receive,Value,Unit,Data Quality
2024-11-22 09:47:43,2024-11-22 09:47:43,4.18,in,A
2024-11-21 21:50:45,2024-11-21 21:50:45,4.18,in,A
2024-11-21 09:53:47,2024-11-21 09:53:47,4.18,in,A
2024-11-20 21:56:50,2024-11-20 21:56:50,4.18,in,A
2024-11-20 09:59:52,2024-11-20 09:59:52,4.18,in,A
2024-11-19 22:02:55,2024-11-19 22:02:55,4.18,in,A
2024-11-19 10:05:58,2024-11-19 10:05:58,4.18,in,A
2024-11-18 22:09:01,2024-11-18 22:09:01,4.18,in,A
2024-11-18 10:12:03,2024-11-18 10:12:03,4.18,in,A
2024-11-17 22:15:06,2024-11-17 22:15:06,4.18,in,A
2024-11-17 10:18:09,2024-11-17 10:18:09,4.18,in,A
2024-11-16 22:21:11,2024-11-16 22:21:11,4.18,in,A
2024-11-16 10:24:14,2024-11-16 10:24:14,4.18,in,A
2024-11-15 22:27:17,2024-11-15 22:27:17,4.18,in,A
2024-11-15 10:30:19,2024-11-15 10:30:19,4.18,in,A
2024-11-14 22:33:22,2024-11-14 22:33:22,4.18,in,A
2024-11-14 10:36:24,2024-11-14 10:36:24,4.18,in,A
2024-11-13 22:39:27,2024-11-13 22:39:27,4.18,in,A
2024-11-13 10:42:30,2024-11-13 10:42:30,4.18,in,A
2024-11-12 10:48:35,2024-11-12 10:48:35,4.18,in,A
2024-11-11 22:51:37,2024-11-11 22:51:37,4.18,in,A
2024-11-11 10:54:40,2024-11-11 10:54:40,4.18,in,A
2024-11-10 22:57:43,2024-11-10 22:57:43,4.18,in,A
2024-11-10 11:00:46,2024-11-10 11:00:46,4.18,in,A
2024-11-09 23:03:48,2024-11-09 23:03:48,4.18,in,A
2024-11-09 11:06:51,2024-11-09 11:06:51,4.18,in,A
2024-11-08 23:09:54,2024-11-08 23:09:54,4.18,in,A
2024-11-08 11:12:56,2024-11-08 11:12:56,4.18,in,A
2024-11-07 23:15:59,2024-11-07 23:15:59,4.18,in,A
2024-11-07 11:19:02,2024-11-07 11:19:02,4.18,in,A
2024-11-06 23:22:05,2024-11-06 23:22:05,4.18,in,A
2024-11-06 11:25:07,2024-11-06 11:25:07,4.18,in,A
2024-11-05 23:28:10,2024-11-05 23:28:10,4.18,in,A
2024-11-05 11:31:13,2024-11-05 11:31:13,4.18,in,A
2024-11-04 23:34:16,2024-11-04 23:34:16,4.18,in,A
2024-11-04 11:37:19,2024-11-04 11:37:19,4.18,in,A
2024-11-03 23:40:22,2024-11-03 23:40:22,4.18,in,A
2024-11-03 11:43:25,2024-11-03 11:43:25,4.18,in,A
2024-11-03 00:46:27,2024-11-03 00:46:27,4.18,in,A
2024-11-02 12:49:24,2024-11-02 12:49:24,4.18,in,A
2024-11-02 00:52:27,2024-11-02 00:52:27,4.18,in,A
2024-11-01 12:55:30,2024-11-01 12:55:30,4.18,in,A
2024-11-01 00:58:32,2024-11-01 00:58:32,4.18,in,A
2024-10-31 13:01:35,2024-10-31 13:01:35,4.18,in,A
2024-10-31 01:04:38,2024-10-31 01:04:38,4.18,in,A
2024-10-30 13:07:41,2024-10-30 13:07:41,4.18,in,A
2024-10-30 01:10:44,2024-10-30 01:10:44,4.18,in,A
2024-10-29 13:13:47,2024-10-29 13:13:47,4.18,in,A
2024-10-29 01:16:50,2024-10-29 01:16:50,4.18,in,A
2024-10-28 13:19:53,2024-10-28 13:19:53,4.18,in,A
2024-10-28 01:22:55,2024-10-28 01:22:55,4.18,in,A
2024-10-27 13:25:58,2024-10-27 13:25:58,4.18,in,A
2024-10-27 01:29:00,2024-10-27 01:29:00,4.18,in,A
2024-10-26 13:32:03,2024-10-26 13:32:03,4.18,in,A
2024-10-26 01:35:06,2024-10-26 01:35:06,4.18,in,A
2024-10-25 13:38:09,2024-10-25 13:38:09,4.18,in,A
2024-10-25 01:41:11,2024-10-25 01:41:11,4.18,in,A
2024-10-24 13:44:14,2024-10-24 13:44:14,4.18,in,A
2024-10-24 01:47:17,2024-10-24 01:47:17,4.18,in,A
2024-10-23 13:50:20,2024-10-23 13:50:20,4.18,in,A
2024-10-23 01:53:23,2024-10-23 01:53:23,4.18,in,A
2024-10-22 13:56:26,2024-10-22 13:56:26,4.18,in,A
2024-10-22 01:59:28,2024-10-22 01:59:28,4.18,in,A
2024-10-21 14:02:31,2024-10-21 14:02:31,4.18,in,A
2024-10-21 02:05:34,2024-10-21 02:05:34,4.18,in,A
2024-10-20 14:08:37,2024-10-20 14:08:37,4.18,in,A
2024-10-20 02:11:40,2024-10-20 02:11:40,4.18,in,A
2024-10-19 14:14:42,2024-10-19 14:14:42,4.18,in,A
2024-10-19 02:17:45,2024-10-19 02:17:45,4.18,in,A
2024-10-18 14:20:48,2024-10-18 14:20:48,4.18,in,A
2024-10-18 02:23:51,2024-10-18 02:23:51,4.18,in,A
2024-10-17 14:26:53,2024-10-17 14:26:53,4.18,in,A
2024-10-17 02:29:56,2024-10-17 02:29:56,4.18,in,A
2024-10-16 14:32:59,2024-10-16 14:32:59,4.18,in,A
2024-10-16 02:36:01,2024-10-16 02:36:01,4.18,in,A
2024-10-15 14:39:04,2024-10-15 14:39:04,4.18,in,A
2024-10-15 02:42:07,2024-10-15 02:42:07,4.18,in,A
2024-10-14 14:45:09,2024-10-14 14:45:09,4.18,in,A
2024-10-14 02:48:12,2024-10-14 02:48:12,4.18,in,A
2024-10-13 14:51:15,2024-10-13 14:51:15,4.18,in,A
2024-10-13 02:54:18,2024-10-13 02:54:18,4.18,in,A
2024-10-12 14:57:21,2024-10-12 14:57:21,4.18,in,A
2024-10-12 03:00:24,2024-10-12 03:00:24,4.18,in,A
2024-10-11 15:03:27,2024-10-11 15:03:27,4.18,in,A
2024-10-11 03:06:29,2024-10-11 03:06:29,4.18,in,A
