Reading,Receive,Value,Unit,Data Quality
2024-11-22 09:22:04,2024-11-22 09:22:04,18.64,in,A
2024-11-21 21:24:58,2024-11-21 21:24:58,18.64,in,A
2024-11-21 09:27:52,2024-11-21 09:27:52,18.64,in,A
2024-11-20 21:30:46,2024-11-20 21:30:46,18.64,in,A
2024-11-20 09:33:41,2024-11-20 09:33:41,18.64,in,A
2024-11-19 21:36:35,2024-11-19 21:36:35,18.64,in,A
2024-11-19 09:39:30,2024-11-19 09:39:30,18.64,in,A
2024-11-18 21:42:25,2024-11-18 21:42:25,18.64,in,A
2024-11-18 09:45:19,2024-11-18 09:45:19,18.64,in,A
2024-11-18 07:08:05,2024-11-18 07:08:05,18.64,in,A
2024-11-17 21:48:14,2024-11-17 21:48:14,18.60,in,A
2024-11-17 09:51:09,2024-11-17 09:51:09,18.60,in,A
2024-11-16 21:54:03,2024-11-16 21:54:03,18.60,in,A
2024-11-16 09:56:57,2024-11-16 09:56:57,18.60,in,A
2024-11-16 06:37:06,2024-11-16 06:37:06,18.60,in,A
2024-11-15 21:59:52,2024-11-15 21:59:52,18.56,in,A
2024-11-15 10:02:46,2024-11-15 10:02:46,18.56,in,A
2024-11-14 22:05:41,2024-11-14 22:05:41,18.56,in,A
2024-11-14 10:08:35,2024-11-14 10:08:35,18.56,in,A
2024-11-13 22:11:30,2024-11-13 22:11:30,18.56,in,A
2024-11-13 10:14:25,2024-11-13 10:14:25,18.56,in,A
2024-11-12 22:17:19,2024-11-12 22:17:19,18.56,in,A
2024-11-12 10:20:13,2024-11-12 10:20:13,18.56,in,A
2024-11-11 22:23:08,2024-11-11 22:23:08,18.56,in,A
2024-11-11 10:26:03,2024-11-11 10:26:03,18.56,in,A
2024-11-10 22:34:15,2024-11-10 22:34:15,18.56,in,A
2024-11-10 22:28:57,2024-11-10 22:28:57,18.52,in,A
2024-11-10 12:44:38,2024-11-10 12:44:38,18.52,in,A
2024-11-10 10:31:52,2024-11-10 10:31:52,18.48,in,A
2024-11-10 10:23:02,2024-11-10 10:23:02,18.48,in,A
2024-11-10 08:59:09,2024-11-10 08:59:09,18.44,in,A
2024-11-10 07:55:15,2024-11-10 07:55:15,18.40,in,A
2024-11-10 06:55:15,2024-11-10 06:55:15,18.36,in,A
2024-11-10 05:51:18,2024-11-10 05:51:18,18.32,in,A
2024-11-09 22:34:46,2024-11-09 22:34:46,18.28,in,A
2024-11-09 10:37:41,2024-11-09 10:37:41,18.28,in,A
2024-11-08 22:40:36,2024-11-08 22:40:36,18.28,in,A
2024-11-08 10:43:30,2024-11-08 10:43:30,18.28,in,A
2024-11-07 22:46:25,2024-11-07 22:46:25,18.28,in,A
2024-11-07 10:49:19,2024-11-07 10:49:19,18.28,in,A
2024-11-06 22:52:14,2024-11-06 22:52:14,18.28,in,A
2024-11-06 12:18:10,2024-11-06 12:18:10,18.28,in,A
2024-11-06 10:55:09,2024-11-06 10:55:09,18.24,in,A
2024-11-06 07:28:29,2024-11-06 07:28:29,18.24,in,A
2024-11-06 06:13:06,2024-11-06 06:13:06,18.20,in,A
2024-11-06 05:52:43,2024-11-06 05:52:43,18.16,in,A
2024-11-06 05:32:31,2024-11-06 05:32:31,18.12,in,A
2024-11-06 05:18:50,2024-11-06 05:18:50,18.08,in,A
2024-11-06 05:06:38,2024-11-06 05:06:38,18.05,in,A
2024-11-06 04:50:05,2024-11-06 04:50:05,18.01,in,A
2024-11-06 04:37:19,2024-11-06 04:37:19,17.97,in,A
2024-11-05 22:58:04,2024-11-05 22:58:04,17.93,in,A
2024-11-05 11:00:58,2024-11-05 11:00:58,17.93,in,A
2024-11-04 23:03:53,2024-11-04 23:03:53,17.93,in,A
2024-11-04 11:06:48,2024-11-04 11:06:48,17.93,in,A
2024-11-03 23:09:43,2024-11-03 23:09:43,17.93,in,A
2024-11-03 11:12:37,2024-11-03 11:12:37,17.93,in,A
2024-11-03 00:15:32,2024-11-03 00:15:32,17.93,in,A
2024-11-02 12:18:21,2024-11-02 12:18:21,17.93,in,A
2024-11-02 11:15:05,2024-11-02 11:15:05,17.93,in,A
2024-11-02 00:21:15,2024-11-02 00:21:15,17.89,in,A
2024-11-01 12:24:10,2024-11-01 12:24:10,17.89,in,A
2024-11-01 00:27:04,2024-11-01 00:27:04,17.89,in,A
2024-10-31 12:29:59,2024-10-31 12:29:59,17.89,in,A
2024-10-31 00:32:54,2024-10-31 00:32:54,17.89,in,A
2024-10-30 12:35:49,2024-10-30 12:35:49,17.89,in,A
2024-10-30 00:38:43,2024-10-30 00:38:43,17.89,in,A
2024-10-29 12:41:38,2024-10-29 12:41:38,17.89,in,A
2024-10-29 00:44:33,2024-10-29 00:44:33,17.89,in,A
2024-10-28 12:47:28,2024-10-28 12:47:28,17.89,in,A
2024-10-28 00:50:22,2024-10-28 00:50:22,17.89,in,A
2024-10-27 12:53:17,2024-10-27 12:53:17,17.89,in,A
2024-10-27 00:56:11,2024-10-27 00:56:11,17.89,in,A
2024-10-26 12:59:06,2024-10-26 12:59:06,17.89,in,A
2024-10-26 01:02:01,2024-10-26 01:02:01,17.89,in,A
2024-10-25 13:04:55,2024-10-25 13:04:55,17.89,in,A
2024-10-25 01:07:50,2024-10-25 01:07:50,17.89,in,A
2024-10-24 13:10:44,2024-10-24 13:10:44,17.89,in,A
2024-10-24 01:13:39,2024-10-24 01:13:39,17.89,in,A
2024-10-23 13:16:34,2024-10-23 13:16:34,17.89,in,A
2024-10-23 01:19:29,2024-10-23 01:19:29,17.89,in,A
2024-10-22 13:22:23,2024-10-22 13:22:23,17.89,in,A
2024-10-22 01:25:18,2024-10-22 01:25:18,17.89,in,A
2024-10-21 13:28:13,2024-10-21 13:28:13,17.89,in,A
2024-10-21 01:31:07,2024-10-21 01:31:07,17.89,in,A
2024-10-20 13:34:02,2024-10-20 13:34:02,17.89,in,A
2024-10-20 01:36:57,2024-10-20 01:36:57,17.89,in,A
2024-10-19 13:39:51,2024-10-19 13:39:51,17.89,in,A
2024-10-19 01:42:46,2024-10-19 01:42:46,17.89,in,A
2024-10-18 01:48:35,2024-10-18 01:48:35,17.89,in,A
2024-10-17 13:51:30,2024-10-17 13:51:30,17.89,in,A
2024-10-17 10:54:05,2024-10-17 10:54:05,17.89,in,A
2024-10-17 09:42:43,2024-10-17 09:42:43,17.81,in,A
2024-10-17 09:33:08,2024-10-17 09:33:08,17.77,in,A
2024-10-17 01:54:24,2024-10-17 01:54:24,17.73,in,A
2024-10-16 13:57:19,2024-10-16 13:57:19,17.73,in,A
2024-10-16 02:00:13,2024-10-16 02:00:13,17.73,in,A
2024-10-15 02:06:02,2024-10-15 02:06:02,17.73,in,A
2024-10-14 14:08:57,2024-10-14 14:08:57,17.73,in,A
2024-10-14 02:11:51,2024-10-14 02:11:51,17.73,in,A
2024-10-13 14:14:46,2024-10-13 14:14:46,17.73,in,A
2024-10-13 02:17:41,2024-10-13 02:17:41,17.73,in,A
2024-10-12 14:20:36,2024-10-12 14:20:36,17.73,in,A
2024-10-12 02:23:30,2024-10-12 02:23:30,17.73,in,A
2024-10-11 14:26:25,2024-10-11 14:26:25,17.73,in,A
2024-10-11 02:29:20,2024-10-11 02:29:20,17.73,in,A
2024-10-10 14:32:15,2024-10-10 14:32:15,17.73,in,A
2024-10-10 02:35:09,2024-10-10 02:35:09,17.73,in,A
2024-10-09 14:38:04,2024-10-09 14:38:04,17.73,in,A
2024-10-09 02:40:59,2024-10-09 02:40:59,17.73,in,A
