Reading,Receive,Value,Unit,Data Quality
2024-11-13 02:10:43,2024-11-13 02:10:43,19.90,in,A
2024-11-05 14:40:38,2024-11-05 14:40:38,19.90,in,A
2024-11-01 15:56:29,2024-11-01 15:56:29,19.90,in,A
2024-10-26 16:20:26,2024-10-26 16:20:26,19.90,in,A
2024-10-26 04:22:25,2024-10-26 04:22:25,19.90,in,A
2024-10-25 16:24:25,2024-10-25 16:24:25,19.90,in,A
2024-10-24 16:28:24,2024-10-24 16:28:24,19.90,in,A
2024-10-23 16:32:24,2024-10-23 16:32:24,19.90,in,A
2024-10-22 16:36:23,2024-10-22 16:36:23,19.90,in,A
2024-10-18 16:52:20,2024-10-18 16:52:20,19.90,in,A
2024-10-13 17:12:17,2024-10-13 17:12:17,19.90,in,A
2024-10-12 05:18:16,2024-10-12 05:18:16,19.90,in,A
2024-10-11 17:20:16,2024-10-11 17:20:16,19.90,in,A
2024-10-11 05:22:16,2024-10-11 05:22:16,19.90,in,A
2024-10-10 05:26:15,2024-10-10 05:26:15,19.90,in,A
2024-10-09 05:30:15,2024-10-09 05:30:15,19.90,in,A
2024-10-07 17:36:14,2024-10-07 17:36:14,19.90,in,A
2024-09-22 18:36:01,2024-09-22 18:36:01,19.90,in,A
2024-09-21 11:02:33,2024-09-21 11:02:33,19.90,in,A
2024-09-20 18:43:59,2024-09-20 18:43:59,19.90,in,A
2024-09-18 18:51:58,2024-09-18 18:51:58,19.90,in,A
2024-09-13 07:13:54,2024-09-13 07:13:54,19.90,in,A
2024-09-12 07:17:53,2024-09-12 07:17:53,19.90,in,A
2024-09-10 10:42:11,2024-09-10 10:42:11,19.90,in,A
2024-09-09 19:27:47,2024-09-09 19:27:47,19.90,in,A
2024-09-09 07:29:46,2024-09-09 07:29:46,19.90,in,A
2024-09-07 19:35:42,2024-09-07 19:35:42,19.90,in,A
2024-09-07 07:37:41,2024-09-07 07:37:41,19.90,in,A
2024-09-06 19:39:39,2024-09-06 19:39:39,19.90,in,A
2024-09-06 07:41:38,2024-09-06 07:41:38,19.90,in,A
2024-09-05 19:43:37,2024-09-05 19:43:37,19.90,in,A
2024-09-05 07:45:35,2024-09-05 07:45:35,19.90,in,A
2024-09-04 07:49:32,2024-09-04 07:49:32,19.90,in,A
2024-09-03 07:53:30,2024-09-03 07:53:30,19.90,in,A
2024-09-01 10:19:24,2024-09-01 10:19:24,19.90,in,A
2024-09-01 08:01:18,2024-09-01 08:01:18,19.90,in,A
2024-08-31 20:03:17,2024-08-31 20:03:17,19.90,in,A
2024-08-31 13:18:43,2024-08-31 13:18:43,19.90,in,A
2024-08-31 08:05:15,2024-08-31 08:05:15,19.90,in,A
2024-08-30 08:09:13,2024-08-30 08:09:13,19.90,in,A
2024-08-29 08:13:10,2024-08-29 08:13:10,19.90,in,A
2024-08-28 12:36:51,2024-08-28 12:36:51,19.90,in,A
2024-08-28 08:17:07,2024-08-28 08:17:07,19.90,in,A
2024-08-27 20:19:06,2024-08-27 20:19:06,19.90,in,A
2024-08-27 08:21:05,2024-08-27 08:21:05,19.90,in,A
2024-08-26 08:25:02,2024-08-26 08:25:02,19.90,in,A
2024-08-25 09:31:58,2024-08-25 09:31:58,19.90,in,A
2024-08-24 20:30:58,2024-08-24 20:30:58,19.90,in,A
2024-08-24 08:32:56,2024-08-24 08:32:56,19.90,in,A
2024-08-23 08:36:54,2024-08-23 08:36:54,19.90,in,A
2024-08-22 09:06:41,2024-08-22 09:06:41,19.90,in,A
2024-08-22 08:40:51,2024-08-22 08:40:51,19.90,in,A
2024-08-21 20:42:49,2024-08-21 20:42:49,19.90,in,A
2024-08-21 09:34:36,2024-08-21 09:34:36,19.90,in,A
2024-08-21 08:44:48,2024-08-21 08:44:48,19.90,in,A
2024-08-20 20:46:46,2024-08-20 20:46:46,19.90,in,A
2024-08-20 08:48:45,2024-08-20 08:48:45,19.90,in,A
2024-08-19 08:51:08,2024-08-19 08:51:08,19.90,in,A
2024-08-19 08:51:01,2024-08-19 08:51:01,19.90,in,AN
2024-07-30 22:25:57,2024-07-30 22:25:57,19.90,in,A
2024-07-30 01:36:26,2024-07-30 01:36:26,19.66,in,A
2024-07-30 01:33:34,2024-07-30 01:33:34,19.62,in,A
2024-07-30 01:29:21,2024-07-30 01:29:21,19.58,in,A
2024-07-29 22:28:52,2024-07-29 22:28:52,19.58,in,A
2024-07-29 21:29:35,2024-07-29 21:29:35,19.54,in,A
2024-07-29 13:32:14,2024-07-29 13:32:14,19.50,in,A
2024-07-29 01:35:07,2024-07-29 01:35:07,19.50,in,A
2024-07-28 13:38:00,2024-07-28 13:38:00,19.50,in,A
2024-07-28 01:40:53,2024-07-28 01:40:53,19.50,in,A
2024-07-27 01:46:38,2024-07-27 01:46:38,19.50,in,A
2024-07-26 13:49:32,2024-07-26 13:49:32,19.50,in,A
2024-07-26 01:52:25,2024-07-26 01:52:25,19.50,in,A
2024-07-25 13:55:18,2024-07-25 13:55:18,19.50,in,A
2024-07-25 01:58:10,2024-07-25 01:58:11,19.50,in,A
2024-07-24 14:01:04,2024-07-24 14:01:04,19.50,in,A
2024-07-24 02:03:56,2024-07-24 02:03:56,19.50,in,A
2024-07-23 14:06:49,2024-07-23 14:06:49,19.50,in,A
2024-07-23 13:21:34,2024-07-23 13:21:34,19.50,in,A
2024-07-23 02:09:43,2024-07-23 02:09:43,19.46,in,A
2024-07-22 14:12:36,2024-07-22 14:12:36,19.46,in,A
2024-07-22 09:02:22,2024-07-22 09:02:22,19.38,in,A
2024-07-22 07:27:42,2024-07-22 07:27:42,19.35,in,A
2024-07-22 02:15:28,2024-07-22 02:15:28,19.31,in,A
2024-07-21 14:18:19,2024-07-21 14:18:19,19.31,in,A
2024-07-21 02:21:12,2024-07-21 02:21:12,19.31,in,A
2024-07-20 14:24:05,2024-07-20 14:24:05,19.31,in,A
2024-07-19 14:29:51,2024-07-19 14:29:51,19.31,in,A
2024-07-19 02:32:44,2024-07-19 02:32:44,19.31,in,A
2024-07-18 02:38:30,2024-07-18 02:38:30,19.31,in,A
2024-07-17 15:57:12,2024-07-17 15:57:12,19.31,in,A
2024-07-17 15:55:43,2024-07-17 15:55:43,19.27,in,A
2024-07-17 15:54:08,2024-07-17 15:54:08,19.23,in,A
2024-07-17 15:52:51,2024-07-17 15:52:51,19.19,in,A
2024-07-17 15:51:23,2024-07-17 15:51:23,19.15,in,A
2024-07-17 15:51:02,2024-07-17 15:51:02,19.11,in,A
2024-07-17 15:50:39,2024-07-17 15:50:39,19.07,in,A
2024-07-17 15:50:18,2024-07-17 15:50:18,19.03,in,A
2024-07-17 15:49:31,2024-07-17 15:49:31,18.99,in,A
2024-07-17 14:41:23,2024-07-17 14:41:23,18.95,in,A
2024-07-17 13:04:19,2024-07-17 13:04:19,18.95,in,A
2024-07-17 02:44:16,2024-07-17 02:44:16,18.91,in,A
2024-07-16 19:41:28,2024-07-16 19:41:28,18.91,in,A
2024-07-16 19:39:18,2024-07-16 19:39:18,18.87,in,A
2024-07-16 19:33:44,2024-07-16 19:33:44,18.83,in,A
2024-07-16 19:32:22,2024-07-16 19:32:22,18.79,in,A
2024-07-16 19:31:07,2024-07-16 19:31:07,18.75,in,A
2024-07-16 14:47:09,2024-07-16 14:47:09,18.72,in,A
2024-07-16 02:50:02,2024-07-16 02:50:02,18.72,in,A
2024-07-15 02:55:48,2024-07-15 02:55:48,18.72,in,A
2024-07-14 16:26:36,2024-07-14 16:26:36,18.72,in,A
2024-07-14 16:24:31,2024-07-14 16:24:31,18.68,in,A
2024-07-14 16:18:01,2024-07-14 16:18:01,18.64,in,A
2024-07-14 16:16:53,2024-07-14 16:16:53,18.60,in,A
2024-07-14 16:16:05,2024-07-14 16:16:05,18.56,in,A
2024-07-14 16:14:55,2024-07-14 16:14:55,18.52,in,A
2024-07-14 14:58:41,2024-07-14 14:58:41,18.48,in,A
2024-07-14 03:01:34,2024-07-14 03:01:34,18.48,in,A
2024-07-13 15:04:27,2024-07-13 15:04:27,18.48,in,A
2024-07-13 03:07:20,2024-07-13 03:07:20,18.48,in,A
2024-07-12 15:10:13,2024-07-12 15:10:13,18.48,in,A
2024-07-12 03:13:06,2024-07-12 03:13:06,18.48,in,A
2024-07-11 15:15:59,2024-07-11 15:15:59,18.48,in,A
2024-07-11 03:18:52,2024-07-11 03:18:52,18.48,in,A
2024-07-10 15:21:45,2024-07-10 15:21:45,18.48,in,A
2024-07-10 09:43:45,2024-07-10 09:43:45,18.48,in,A
2024-07-10 03:24:38,2024-07-10 03:24:38,18.44,in,A
2024-07-09 15:27:31,2024-07-09 15:27:31,18.44,in,A
2024-07-09 03:30:24,2024-07-09 03:30:24,18.44,in,A
2024-07-08 15:33:17,2024-07-08 15:33:17,18.44,in,A
2024-07-08 03:36:10,2024-07-08 03:36:10,18.44,in,A
2024-07-07 15:39:03,2024-07-07 15:39:03,18.44,in,A
2024-07-07 03:41:56,2024-07-07 03:41:56,18.44,in,A
2024-07-06 15:44:49,2024-07-06 15:44:49,18.44,in,A
2024-07-06 03:47:42,2024-07-06 03:47:42,18.44,in,A
2024-07-05 15:50:35,2024-07-05 15:50:35,18.44,in,A
2024-07-05 03:53:28,2024-07-05 03:53:28,18.44,in,A
2024-07-04 23:15:02,2024-07-04 23:15:02,18.44,in,A
2024-07-04 15:56:21,2024-07-04 15:56:21,18.40,in,A
2024-07-04 15:06:30,2024-07-04 15:06:30,18.40,in,A
2024-07-04 03:59:14,2024-07-04 03:59:14,18.36,in,A
2024-07-03 18:19:45,2024-07-03 18:19:45,18.36,in,A
2024-07-03 18:16:05,2024-07-03 18:16:05,18.32,in,A
2024-07-03 17:53:16,2024-07-03 17:53:16,18.28,in,A
2024-07-03 17:49:32,2024-07-03 17:49:32,18.24,in,A
2024-07-03 17:46:51,2024-07-03 17:46:51,18.20,in,A
2024-07-03 17:45:19,2024-07-03 17:45:19,18.16,in,A
2024-07-03 17:44:11,2024-07-03 17:44:11,18.12,in,A
2024-07-03 17:43:11,2024-07-03 17:43:11,18.08,in,A
2024-07-03 17:41:05,2024-07-03 17:41:05,18.05,in,A
2024-07-03 17:38:23,2024-07-03 17:38:23,18.01,in,A
