Reading,Receive,Value,Unit,Data Quality
2024-11-22 04:47:22,2024-11-22 04:47:22,9.22,in,A
2024-11-21 16:49:21,2024-11-21 16:49:21,9.22,in,A
2024-11-21 04:51:20,2024-11-21 04:51:20,9.22,in,A
2024-11-20 16:53:20,2024-11-20 16:53:20,9.22,in,A
2024-11-20 15:12:02,2024-11-20 15:12:02,9.22,in,A
2024-11-20 13:12:27,2024-11-20 13:12:27,9.18,in,A
2024-11-20 04:55:19,2024-11-20 04:55:19,9.14,in,A
2024-11-19 16:57:19,2024-11-19 16:57:19,9.14,in,A
2024-11-19 04:59:19,2024-11-19 04:59:19,9.14,in,A
2024-11-18 17:01:18,2024-11-18 17:01:18,9.14,in,A
2024-11-18 05:03:18,2024-11-18 05:03:18,9.14,in,A
2024-11-17 17:05:17,2024-11-17 17:05:17,9.14,in,A
2024-11-17 05:07:17,2024-11-17 05:07:17,9.14,in,A
2024-11-16 17:09:16,2024-11-16 17:09:16,9.14,in,A
2024-11-16 05:11:16,2024-11-16 05:11:16,9.14,in,A
2024-11-15 17:13:15,2024-11-15 17:13:15,9.14,in,A
2024-11-15 05:15:15,2024-11-15 05:15:15,9.14,in,A
2024-11-14 17:17:14,2024-11-14 17:17:14,9.14,in,A
2024-11-14 05:19:14,2024-11-14 05:19:14,9.14,in,A
2024-11-13 17:21:13,2024-11-13 17:21:13,9.14,in,A
2024-11-13 05:23:13,2024-11-13 05:23:13,9.14,in,A
2024-11-12 17:25:12,2024-11-12 17:25:12,9.14,in,A
2024-11-12 05:27:12,2024-11-12 05:27:12,9.14,in,A
2024-11-11 17:29:11,2024-11-11 17:29:11,9.14,in,A
2024-11-11 05:31:11,2024-11-11 05:31:11,9.14,in,A
2024-11-10 17:33:10,2024-11-10 17:33:10,9.14,in,A
2024-11-10 05:35:10,2024-11-10 05:35:10,9.14,in,A
2024-11-09 17:37:09,2024-11-09 17:37:09,9.14,in,A
2024-11-09 05:39:09,2024-11-09 05:39:09,9.14,in,A
2024-11-08 17:41:09,2024-11-08 17:41:09,9.14,in,A
2024-11-08 05:43:08,2024-11-08 05:43:08,9.14,in,A
2024-11-07 17:45:08,2024-11-07 17:45:08,9.14,in,A
2024-11-07 05:47:07,2024-11-07 05:47:07,9.14,in,A
2024-11-06 17:49:07,2024-11-06 17:49:07,9.14,in,A
2024-11-06 05:51:07,2024-11-06 05:51:07,9.14,in,A
2024-11-06 04:42:37,2024-11-06 04:42:37,9.14,in,A
