Reading,Receive,Value,Unit,Data Quality
2024-11-22 11:48:32,2024-11-22 11:49:10,28.60,in,A
2024-11-22 09:29:05,2024-11-22 09:29:10,28.56,in,A
2024-11-21 21:29:05,2024-11-21 21:29:10,28.56,in,A
2024-11-21 11:10:41,2024-11-21 11:11:10,28.56,in,A
2024-11-21 09:29:05,2024-11-21 09:29:10,28.53,in,A
2024-11-20 21:29:05,2024-11-20 21:29:10,28.53,in,A
2024-11-20 14:06:00,2024-11-20 14:07:10,28.53,in,A
2024-11-20 13:35:19,2024-11-20 13:37:10,28.49,in,A
2024-11-20 12:55:24,2024-11-20 12:57:10,28.45,in,A
2024-11-20 11:55:31,2024-11-20 11:57:10,28.41,in,A
2024-11-20 11:45:22,2024-11-20 11:47:10,28.37,in,A
2024-11-20 09:29:05,2024-11-20 09:29:10,28.33,in,A
2024-11-19 21:29:05,2024-11-19 21:29:10,28.33,in,A
2024-11-19 10:13:57,2024-11-19 10:15:10,28.33,in,A
2024-11-19 09:44:04,2024-11-19 09:45:10,28.29,in,A
2024-11-19 09:27:42,2024-11-19 09:29:10,28.25,in,A
2024-11-19 05:20:06,2024-11-19 05:21:10,28.21,in,A
2024-11-18 21:29:05,2024-11-18 21:29:10,28.17,in,A
2024-11-18 09:29:05,2024-11-18 09:29:11,28.17,in,A
2024-11-17 21:29:05,2024-11-17 21:29:10,28.17,in,A
2024-11-17 09:29:05,2024-11-17 09:29:10,28.17,in,A
2024-11-16 21:29:05,2024-11-16 21:29:10,28.17,in,A
2024-11-16 09:29:05,2024-11-16 09:29:11,28.17,in,A
2024-11-15 21:29:05,2024-11-15 21:29:11,28.17,in,A
2024-11-15 09:29:05,2024-11-15 09:29:11,28.17,in,A
2024-11-14 23:37:32,2024-11-14 23:39:11,28.17,in,A
2024-11-14 21:29:05,2024-11-14 21:29:11,28.13,in,A
2024-11-14 09:29:05,2024-11-14 09:29:11,28.13,in,A
2024-11-14 08:31:43,2024-11-14 08:33:11,28.13,in,A
2024-11-14 07:15:53,2024-11-14 07:17:11,28.09,in,A
2024-11-14 07:08:50,2024-11-14 07:09:11,28.05,in,A
2024-11-14 06:47:53,2024-11-14 06:49:11,28.01,in,A
2024-11-14 06:29:57,2024-11-14 06:31:11,27.97,in,A
2024-11-14 06:15:40,2024-11-14 06:17:11,27.93,in,A
2024-11-14 06:04:34,2024-11-14 06:05:11,27.90,in,A
2024-11-14 05:53:11,2024-11-14 05:55:11,27.86,in,A
2024-11-14 05:43:42,2024-11-14 05:45:11,27.82,in,A
2024-11-14 05:32:16,2024-11-14 05:33:11,27.78,in,A
2024-11-14 05:11:08,2024-11-14 05:13:11,27.74,in,A
2024-11-14 04:50:15,2024-11-14 04:51:11,27.70,in,A
2024-11-14 04:41:58,2024-11-14 04:43:11,27.66,in,A
2024-11-14 04:34:25,2024-11-14 04:35:11,27.62,in,A
2024-11-14 04:25:30,2024-11-14 04:27:11,27.58,in,A
2024-11-14 04:21:19,2024-11-14 04:25:11,27.54,in,A
2024-11-14 04:11:02,2024-11-14 04:11:11,27.50,in,A
2024-11-14 03:54:47,2024-11-14 03:55:11,27.46,in,A
2024-11-14 03:29:43,2024-11-14 03:31:11,27.42,in,A
2024-11-14 03:14:09,2024-11-14 03:15:11,27.38,in,A
