Reading,Receive,Value,Unit,Data Quality
2024-11-22 12:47:22,2024-11-22 12:47:22,24.43,in,A
2024-11-22 12:22:31,2024-11-22 12:22:31,24.39,in,A
2024-11-22 00:24:30,2024-11-22 00:24:30,24.39,in,A
2024-11-21 12:26:30,2024-11-21 12:26:30,24.39,in,A
2024-11-21 12:06:55,2024-11-21 12:06:55,24.39,in,A
2024-11-21 11:38:02,2024-11-21 11:38:02,24.35,in,A
2024-11-21 00:28:30,2024-11-21 00:28:30,24.31,in,A
2024-11-20 13:48:27,2024-11-20 13:48:27,24.31,in,A
2024-11-20 12:30:30,2024-11-20 12:30:30,24.27,in,A
2024-11-20 00:32:29,2024-11-20 00:32:29,24.27,in,A
2024-11-19 12:34:29,2024-11-19 12:34:29,24.27,in,A
2024-11-19 10:22:27,2024-11-19 10:22:27,24.27,in,A
2024-11-19 09:45:06,2024-11-19 09:45:06,24.23,in,A
2024-11-19 06:20:48,2024-11-19 06:20:48,24.19,in,A
2024-11-19 00:36:29,2024-11-19 00:36:29,24.15,in,A
2024-11-18 12:38:29,2024-11-18 12:38:29,24.15,in,A
2024-11-18 00:40:29,2024-11-18 00:40:29,24.15,in,A
2024-11-17 12:42:29,2024-11-17 12:42:29,24.15,in,A
2024-11-17 00:44:29,2024-11-17 00:44:29,24.15,in,A
2024-11-16 12:46:29,2024-11-16 12:46:29,24.15,in,A
2024-11-16 00:48:29,2024-11-16 00:48:29,24.15,in,A
2024-11-15 12:50:29,2024-11-15 12:50:29,24.15,in,A
2024-11-15 00:52:28,2024-11-15 00:52:28,24.15,in,A
2024-11-14 19:05:30,2024-11-14 19:05:30,24.15,in,A
2024-11-14 12:54:28,2024-11-14 12:54:28,24.11,in,A
2024-11-14 11:32:08,2024-11-14 11:32:08,24.11,in,A
2024-11-14 08:19:08,2024-11-14 08:19:08,24.07,in,A
2024-11-14 08:00:07,2024-11-14 08:00:07,24.03,in,A
2024-11-14 06:50:08,2024-11-14 06:50:08,23.99,in,A
2024-11-14 06:32:17,2024-11-14 06:32:17,23.96,in,A
2024-11-14 06:19:42,2024-11-14 06:19:42,23.92,in,A
2024-11-14 06:02:05,2024-11-14 06:02:05,23.88,in,A
2024-11-14 05:45:43,2024-11-14 05:45:43,23.84,in,A
2024-11-14 05:30:32,2024-11-14 05:30:32,23.80,in,A
2024-11-14 05:11:23,2024-11-14 05:11:23,23.72,in,A
2024-11-14 05:01:10,2024-11-14 05:01:10,23.68,in,A
2024-11-14 04:52:08,2024-11-14 04:52:08,23.64,in,A
2024-11-14 04:45:26,2024-11-14 04:45:26,23.60,in,A
2024-11-14 04:36:59,2024-11-14 04:36:59,23.56,in,A
2024-11-14 04:27:54,2024-11-14 04:27:54,23.52,in,A
2024-11-14 04:17:45,2024-11-14 04:17:45,23.48,in,A
2024-11-14 03:59:32,2024-11-14 03:59:32,23.44,in,A
2024-11-14 03:43:35,2024-11-14 03:43:35,23.40,in,A
2024-11-14 03:20:39,2024-11-14 03:20:39,23.36,in,A
2024-11-14 02:53:15,2024-11-14 02:53:15,23.32,in,A
2024-11-14 02:11:38,2024-11-14 02:11:38,23.29,in,A
2024-11-14 00:56:28,2024-11-14 00:56:28,23.25,in,A
2024-11-13 12:58:28,2024-11-13 12:58:28,23.25,in,A
2024-11-13 01:00:28,2024-11-13 01:00:28,23.25,in,A
2024-11-12 13:02:28,2024-11-12 13:02:28,23.25,in,A
2024-11-12 01:04:28,2024-11-12 01:04:28,23.25,in,A
2024-11-11 13:06:28,2024-11-11 13:06:28,23.25,in,A
2024-11-11 01:08:27,2024-11-11 01:08:27,23.25,in,A
2024-11-10 14:30:29,2024-11-10 14:30:29,23.25,in,A
2024-11-10 13:10:46,2024-11-10 13:10:46,23.21,in,A
2024-11-10 13:10:24,2024-11-10 13:10:24,23.21,in,A
2024-11-10 12:29:39,2024-11-10 12:29:39,23.17,in,A
2024-11-10 12:08:15,2024-11-10 12:08:15,23.13,in,A
2024-11-10 11:23:11,2024-11-10 11:23:11,23.09,in,A
2024-11-10 10:35:14,2024-11-10 10:35:14,23.05,in,A
2024-11-10 10:06:51,2024-11-10 10:06:51,23.01,in,A
