Reading,Receive,Value,Unit,Data Quality
2024-11-22 12:39:51,2024-11-22 12:39:51,27.30,in,A
2024-11-22 08:53:09,2024-11-22 08:53:09,27.26,in,A
2024-11-21 20:53:08,2024-11-21 20:53:08,27.26,in,A
2024-11-21 11:11:01,2024-11-21 11:11:01,27.26,in,A
2024-11-21 08:53:08,2024-11-21 08:53:08,27.23,in,A
2024-11-20 20:53:08,2024-11-20 20:53:08,27.23,in,A
2024-11-20 13:16:00,2024-11-20 13:16:00,27.23,in,A
2024-11-20 12:06:32,2024-11-20 12:06:32,27.19,in,A
2024-11-19 20:53:07,2024-11-19 20:53:07,27.15,in,A
2024-11-19 11:02:44,2024-11-19 11:02:44,27.15,in,A
2024-11-19 09:30:13,2024-11-19 09:30:13,27.11,in,A
2024-11-19 08:53:07,2024-11-19 08:53:07,27.07,in,A
2024-11-19 08:34:32,2024-11-19 08:34:32,27.07,in,A
2024-11-18 20:53:07,2024-11-18 20:53:07,27.03,in,A
2024-11-18 08:53:08,2024-11-18 08:53:08,27.03,in,A
2024-11-17 20:53:08,2024-11-17 20:53:08,27.03,in,A
2024-11-17 08:53:08,2024-11-17 08:53:08,27.03,in,A
2024-11-16 20:53:07,2024-11-16 20:53:07,27.03,in,A
2024-11-16 08:53:07,2024-11-16 08:53:07,27.03,in,A
2024-11-15 20:53:07,2024-11-15 20:53:07,27.03,in,A
2024-11-15 08:53:07,2024-11-15 08:53:07,27.03,in,A
2024-11-14 20:53:07,2024-11-14 20:53:07,27.03,in,A
2024-11-14 10:27:11,2024-11-14 10:27:11,27.03,in,A
2024-11-14 08:53:07,2024-11-14 08:53:07,26.99,in,A
2024-11-14 06:53:30,2024-11-14 06:53:30,26.99,in,A
2024-11-14 06:27:15,2024-11-14 06:27:15,26.95,in,A
2024-11-14 06:04:31,2024-11-14 06:04:31,26.91,in,A
2024-11-14 05:45:17,2024-11-14 05:45:17,26.87,in,A
2024-11-14 05:24:52,2024-11-14 05:24:52,26.83,in,A
2024-11-14 05:09:47,2024-11-14 05:09:47,26.79,in,A
2024-11-14 04:55:54,2024-11-14 04:55:54,26.75,in,A
2024-11-14 04:49:14,2024-11-14 04:49:14,26.71,in,A
2024-11-14 04:39:12,2024-11-14 04:39:12,26.67,in,A
2024-11-14 04:31:45,2024-11-14 04:31:45,26.63,in,A
2024-11-14 04:19:35,2024-11-14 04:19:35,26.60,in,A
2024-11-14 03:52:34,2024-11-14 03:52:34,26.52,in,A
2024-11-14 03:37:55,2024-11-14 03:37:55,26.48,in,A
2024-11-14 03:24:20,2024-11-14 03:24:20,26.44,in,A
2024-11-14 03:11:26,2024-11-14 03:11:26,26.40,in,A
2024-11-14 02:40:47,2024-11-14 02:40:47,26.36,in,A
2024-11-13 20:53:07,2024-11-13 20:53:07,26.32,in,A
2024-11-13 08:53:07,2024-11-13 08:53:07,26.32,in,A
2024-11-12 20:53:07,2024-11-12 20:53:07,26.32,in,A
2024-11-12 08:53:07,2024-11-12 08:53:07,26.32,in,A
2024-11-11 08:53:07,2024-11-11 08:53:07,26.32,in,A
2024-11-10 20:53:07,2024-11-10 20:53:07,26.32,in,A
2024-11-10 13:43:20,2024-11-10 13:43:20,26.32,in,A
2024-11-10 12:58:25,2024-11-10 12:58:25,26.28,in,A
2024-11-10 12:37:24,2024-11-10 12:37:24,26.24,in,A
2024-11-10 12:27:15,2024-11-10 12:27:15,26.20,in,A
2024-11-10 12:21:29,2024-11-10 12:21:29,26.16,in,A
2024-11-10 12:10:18,2024-11-10 12:10:18,26.12,in,A
2024-11-10 11:04:37,2024-11-10 11:04:37,26.08,in,A
2024-11-10 09:57:54,2024-11-10 09:57:54,26.04,in,A
2024-11-10 09:42:10,2024-11-10 09:42:10,26.00,in,A
2024-11-10 09:23:02,2024-11-10 09:23:02,25.96,in,A
2024-11-10 08:53:06,2024-11-10 08:53:06,25.93,in,A
2024-11-10 08:46:50,2024-11-10 08:46:50,25.93,in,A
2024-11-10 08:03:24,2024-11-10 08:03:24,25.89,in,A
2024-11-10 07:53:54,2024-11-10 07:53:54,25.85,in,A
2024-11-10 07:50:52,2024-11-10 07:50:52,25.81,in,A
2024-11-10 07:48:04,2024-11-10 07:48:04,25.77,in,A
2024-11-10 07:38:46,2024-11-10 07:38:46,25.73,in,A
2024-11-10 07:34:44,2024-11-10 07:34:44,25.69,in,A
2024-11-10 07:31:47,2024-11-10 07:31:47,25.65,in,A
2024-11-10 07:28:35,2024-11-10 07:28:35,25.61,in,A
2024-11-10 07:19:53,2024-11-10 07:19:53,25.57,in,A
2024-11-10 06:59:43,2024-11-10 06:59:43,25.53,in,A
2024-11-10 06:44:55,2024-11-10 06:44:55,25.49,in,A
2024-11-10 06:11:57,2024-11-10 06:11:57,25.45,in,A
2024-11-10 05:23:06,2024-11-10 05:23:06,25.41,in,A
2024-11-09 20:53:07,2024-11-09 20:53:07,25.37,in,A
2024-11-09 08:53:07,2024-11-09 08:53:07,25.37,in,A
2024-11-08 20:53:06,2024-11-08 20:53:06,25.37,in,A
2024-11-08 08:53:06,2024-11-08 08:53:06,25.37,in,A
2024-11-07 20:53:06,2024-11-07 20:53:06,25.37,in,A
2024-11-07 08:53:06,2024-11-07 08:53:06,25.37,in,A
2024-11-06 20:53:06,2024-11-06 20:53:06,25.37,in,A
2024-11-06 08:53:06,2024-11-06 08:53:06,25.37,in,A
2024-11-06 05:56:31,2024-11-06 05:56:31,25.37,in,A
2024-11-06 05:15:32,2024-11-06 05:15:32,25.33,in,A
