Reading,Receive,Value,Unit,Data Quality
2024-11-22 15:08:57,2024-11-22 15:08:57,0.91,in,A
2024-11-20 15:08:51,2024-11-20 15:08:51,0.91,in,A
2024-11-20 03:08:51,2024-11-20 03:08:51,0.91,in,A
2024-11-18 15:08:47,2024-11-18 15:08:47,0.91,in,A
2024-11-16 03:08:42,2024-11-16 03:08:42,0.91,in,A
2024-11-15 15:08:40,2024-11-15 15:08:40,0.91,in,A
2024-11-15 03:08:40,2024-11-15 03:08:40,0.91,in,A
2024-11-14 15:08:38,2024-11-14 15:08:38,0.91,in,A
2024-11-14 03:08:37,2024-11-14 03:08:37,0.91,in,A
2024-11-13 15:08:36,2024-11-13 15:08:36,0.91,in,A
2024-11-12 03:08:32,2024-11-12 03:08:32,0.91,in,A
2024-11-11 03:08:30,2024-11-11 03:08:30,0.91,in,A
2024-11-10 15:08:29,2024-11-10 15:08:29,0.91,in,A
2024-11-09 15:08:27,2024-11-09 15:08:27,0.91,in,A
2024-11-06 03:08:20,2024-11-06 03:08:20,0.91,in,A
2024-11-02 16:08:14,2024-11-02 16:08:14,0.91,in,A
2024-11-02 04:08:06,2024-11-02 04:08:06,0.91,in,A
2024-11-01 16:08:06,2024-11-01 16:08:06,0.91,in,A
2024-10-30 16:08:02,2024-10-30 16:08:02,0.91,in,A
2024-10-29 04:07:59,2024-10-29 04:07:59,0.91,in,A
2024-10-26 16:07:54,2024-10-26 16:07:54,0.91,in,A
2024-10-24 16:07:50,2024-10-24 16:07:50,0.91,in,A
2024-10-23 16:07:48,2024-10-23 16:07:48,0.91,in,A
2024-10-23 04:07:48,2024-10-23 04:07:48,0.91,in,A
2024-10-22 16:07:47,2024-10-22 16:07:47,0.91,in,A
2024-10-22 04:07:46,2024-10-22 04:07:46,0.91,in,A
2024-10-18 04:07:38,2024-10-18 04:07:38,0.91,in,A
2024-10-16 16:07:34,2024-10-16 16:07:34,0.91,in,A
2024-10-16 04:07:33,2024-10-16 04:07:33,0.91,in,A
2024-10-15 16:07:32,2024-10-15 16:07:32,0.91,in,A
2024-10-15 04:07:31,2024-10-15 04:07:31,0.91,in,A
2024-10-14 16:07:30,2024-10-14 16:07:30,0.91,in,A
2024-10-13 04:07:27,2024-10-13 04:07:27,0.91,in,A
2024-10-12 16:07:26,2024-10-12 16:07:26,0.91,in,A
2024-10-11 04:07:23,2024-10-11 04:07:23,0.91,in,A
2024-10-02 16:07:09,2024-10-02 16:07:09,0.91,in,A
2024-10-02 04:07:02,2024-10-02 04:07:02,0.91,in,A
2024-10-01 16:07:01,2024-10-01 16:07:01,0.91,in,A
2024-10-01 04:07:00,2024-10-01 04:07:00,0.91,in,A
2024-09-30 16:06:59,2024-09-30 16:06:59,0.91,in,A
2024-09-30 04:06:59,2024-09-30 04:06:59,0.91,in,A
2024-09-29 16:06:57,2024-09-29 16:06:57,0.91,in,A
2024-09-29 04:06:56,2024-09-29 04:06:56,0.91,in,A
2024-09-28 16:06:56,2024-09-28 16:06:56,0.91,in,A
2024-09-28 04:06:55,2024-09-28 04:06:55,0.91,in,A
2024-09-27 16:06:54,2024-09-27 16:06:54,0.91,in,A
