Reading,Receive,Value,Unit,Data Quality
2024-11-21 20:31:42,2024-11-21 20:31:42,30.69,in,A
2024-11-20 20:31:43,2024-11-20 20:31:43,30.65,in,A
2024-11-20 14:03:01,2024-11-20 14:03:01,30.65,in,A
2024-11-20 12:01:20,2024-11-20 12:01:20,30.61,in,A
2024-11-19 20:31:43,2024-11-19 20:31:43,30.57,in,A
2024-11-19 08:31:43,2024-11-19 08:31:43,30.54,in,A
2024-11-18 20:31:43,2024-11-18 20:31:43,30.54,in,A
2024-11-18 08:31:44,2024-11-18 08:31:44,30.54,in,A
2024-11-17 20:31:44,2024-11-17 20:31:44,30.54,in,A
2024-11-17 08:31:44,2024-11-17 08:31:44,30.54,in,A
2024-11-16 20:31:45,2024-11-16 20:31:45,30.54,in,A
2024-11-16 08:31:45,2024-11-16 08:31:45,30.54,in,A
2024-11-15 20:31:45,2024-11-15 20:31:45,30.54,in,A
2024-11-15 08:31:45,2024-11-15 08:31:45,30.54,in,A
2024-11-14 20:31:45,2024-11-14 20:31:45,30.54,in,A
2024-11-14 16:50:27,2024-11-14 16:50:27,30.54,in,A
2024-11-14 08:31:45,2024-11-14 08:31:45,30.50,in,A
2024-11-14 07:07:46,2024-11-14 07:07:46,30.50,in,A
2024-11-14 07:00:10,2024-11-14 07:00:10,30.46,in,A
2024-11-14 06:16:48,2024-11-14 06:16:48,30.42,in,A
2024-11-14 05:54:14,2024-11-14 05:54:14,30.38,in,A
2024-11-14 04:59:30,2024-11-14 04:59:30,30.30,in,A
2024-11-14 04:55:23,2024-11-14 04:55:23,30.26,in,A
2024-11-14 04:43:51,2024-11-14 04:43:51,30.22,in,A
2024-11-14 04:29:35,2024-11-14 04:29:35,30.18,in,A
2024-11-14 04:17:19,2024-11-14 04:17:19,30.14,in,A
2024-11-14 03:55:26,2024-11-14 03:55:26,30.02,in,A
2024-11-14 03:29:28,2024-11-14 03:29:28,30.02,in,A
2024-11-14 02:55:02,2024-11-14 02:55:02,29.98,in,A
2024-11-13 20:31:45,2024-11-13 20:31:45,29.90,in,A
2024-11-13 08:31:45,2024-11-13 08:31:45,29.90,in,A
2024-11-11 20:31:46,2024-11-11 20:31:46,29.90,in,A
2024-11-11 08:31:46,2024-11-11 08:31:46,29.90,in,A
2024-11-10 23:03:54,2024-11-10 23:03:54,29.90,in,A
2024-11-10 12:29:14,2024-11-10 12:29:14,29.87,in,A
2024-11-10 12:09:50,2024-11-10 12:09:50,29.83,in,A
2024-11-10 11:55:24,2024-11-10 11:55:24,29.71,in,A
2024-11-10 11:30:26,2024-11-10 11:30:26,29.63,in,A
2024-11-10 11:21:14,2024-11-10 11:21:14,29.55,in,A
