Reading,Receive,Value,Unit,Data Quality
2024-11-22 11:53:22,2024-11-22 11:53:22,13.87,in,A
2024-11-21 18:30:55,2024-11-21 18:30:55,13.83,in,A
2024-11-21 02:33:02,2024-11-21 02:33:02,13.79,in,A
2024-11-20 14:36:01,2024-11-20 14:36:01,13.79,in,A
2024-11-20 02:38:59,2024-11-20 02:38:59,13.71,in,A
2024-11-19 14:41:58,2024-11-19 14:41:58,13.71,in,A
2024-11-19 02:44:57,2024-11-19 02:44:57,13.71,in,A
2024-11-18 14:47:56,2024-11-18 14:47:56,13.71,in,A
2024-11-18 02:50:55,2024-11-18 02:50:55,13.71,in,A
2024-11-17 14:53:53,2024-11-17 14:53:53,13.71,in,A
2024-11-17 02:56:52,2024-11-17 02:56:52,13.71,in,A
2024-11-16 14:59:51,2024-11-16 14:59:51,13.71,in,A
2024-11-16 03:02:50,2024-11-16 03:02:50,13.71,in,A
2024-11-15 15:05:48,2024-11-15 15:05:48,13.71,in,A
2024-11-14 16:18:54,2024-11-14 16:18:54,13.71,in,A
2024-11-14 16:08:49,2024-11-14 16:08:49,13.67,in,A
2024-11-14 15:11:46,2024-11-14 15:11:46,13.63,in,A
2024-11-14 08:32:43,2024-11-14 08:32:43,13.63,in,A
2024-11-14 07:11:46,2024-11-14 07:11:46,13.59,in,A
2024-11-14 06:06:34,2024-11-14 06:06:34,13.55,in,A
2024-11-14 05:24:02,2024-11-14 05:24:02,13.51,in,A
2024-11-14 05:11:18,2024-11-14 05:11:18,13.47,in,A
2024-11-14 05:05:07,2024-11-14 05:05:07,13.44,in,A
2024-11-14 04:45:50,2024-11-14 04:45:50,13.40,in,A
2024-11-14 04:29:01,2024-11-14 04:29:01,13.36,in,A
2024-11-14 04:18:17,2024-11-14 04:18:17,13.32,in,A
2024-11-14 04:03:03,2024-11-14 04:03:03,13.28,in,A
2024-11-14 02:45:13,2024-11-14 02:45:13,13.20,in,A
2024-11-13 03:20:42,2024-11-13 03:20:42,13.16,in,A
2024-11-12 15:23:41,2024-11-12 15:23:41,13.16,in,A
2024-11-12 03:26:40,2024-11-12 03:26:40,13.16,in,A
2024-11-11 15:29:39,2024-11-11 15:29:39,13.16,in,A
2024-11-11 03:32:37,2024-11-11 03:32:37,13.16,in,A
2024-11-10 12:36:35,2024-11-10 12:36:35,13.16,in,A
2024-11-10 11:26:23,2024-11-10 11:26:23,13.12,in,A
2024-11-10 10:20:31,2024-11-10 10:20:31,13.08,in,A
2024-11-10 09:18:14,2024-11-10 09:18:14,13.04,in,A
2024-11-10 09:03:01,2024-11-10 09:03:01,13.00,in,A
2024-11-10 08:11:53,2024-11-10 08:11:53,12.96,in,A
2024-11-10 08:03:54,2024-11-10 08:03:54,12.92,in,A
2024-11-10 07:57:16,2024-11-10 07:57:16,12.88,in,A
2024-11-10 07:48:59,2024-11-10 07:48:59,12.84,in,A
2024-11-10 07:39:25,2024-11-10 07:39:25,12.80,in,A
2024-11-10 06:54:55,2024-11-10 06:54:55,12.77,in,A
2024-11-10 06:26:33,2024-11-10 06:26:33,12.73,in,A
2024-11-10 05:50:09,2024-11-10 05:50:09,12.69,in,A
2024-11-10 03:38:35,2024-11-10 03:38:35,12.65,in,A
2024-11-09 15:41:34,2024-11-09 15:41:34,12.65,in,A
2024-11-09 03:44:33,2024-11-09 03:44:33,12.65,in,A
2024-11-08 03:50:30,2024-11-08 03:50:30,12.65,in,A
2024-11-07 15:53:29,2024-11-07 15:53:29,12.65,in,A
2024-11-07 03:56:28,2024-11-07 03:56:28,12.65,in,A
2024-11-06 15:59:27,2024-11-06 15:59:27,12.65,in,A
2024-11-06 08:21:21,2024-11-06 08:21:21,12.61,in,A
2024-11-06 05:00:36,2024-11-06 05:00:36,12.57,in,A
2024-11-06 04:52:55,2024-11-06 04:52:55,12.53,in,A
2024-11-06 04:42:01,2024-11-06 04:42:01,12.49,in,A
