Reading,Receive,Value,Unit,Data Quality
2024-11-22 12:50:19,2024-11-22 12:50:19,33.17,in,A
2024-11-22 09:40:48,2024-11-22 09:40:48,33.14,in,A
2024-11-22 08:43:21,2024-11-22 08:43:21,33.14,in,A
2024-11-21 10:02:40,2024-11-21 10:02:40,33.10,in,A
2024-11-21 09:40:45,2024-11-21 09:40:45,33.06,in,A
2024-11-20 21:40:44,2024-11-20 21:40:44,33.06,in,A
2024-11-20 14:14:38,2024-11-20 14:14:38,33.06,in,A
2024-11-20 09:40:43,2024-11-20 09:40:43,32.98,in,A
2024-11-19 10:05:55,2024-11-19 10:05:55,32.90,in,A
2024-11-18 21:40:41,2024-11-18 21:40:41,32.86,in,A
2024-11-18 09:40:40,2024-11-18 09:40:40,32.86,in,A
2024-11-17 21:40:39,2024-11-17 21:40:39,32.86,in,A
2024-11-17 09:40:38,2024-11-17 09:40:38,32.86,in,A
2024-11-16 21:40:37,2024-11-16 21:40:37,32.86,in,A
2024-11-16 09:40:36,2024-11-16 09:40:36,32.86,in,A
2024-11-15 21:40:36,2024-11-15 21:40:36,32.86,in,A
2024-11-15 09:40:35,2024-11-15 09:40:35,32.86,in,A
2024-11-14 20:04:53,2024-11-14 20:04:53,32.86,in,A
2024-11-14 11:08:53,2024-11-14 11:08:53,32.82,in,A
2024-11-14 09:40:33,2024-11-14 09:40:33,32.78,in,A
2024-11-14 08:57:16,2024-11-14 08:57:16,32.78,in,A
2024-11-14 08:06:34,2024-11-14 08:06:34,32.74,in,A
2024-11-14 07:00:18,2024-11-14 07:00:18,32.70,in,A
2024-11-14 06:37:57,2024-11-14 06:37:57,32.66,in,A
2024-11-14 06:22:08,2024-11-14 06:22:08,32.62,in,A
2024-11-14 06:03:43,2024-11-14 06:03:43,32.58,in,A
2024-11-14 05:49:08,2024-11-14 05:49:08,32.54,in,A
2024-11-14 05:26:13,2024-11-14 05:26:13,32.47,in,A
2024-11-14 05:14:29,2024-11-14 05:14:29,32.43,in,A
2024-11-14 04:32:13,2024-11-14 04:32:13,32.31,in,A
2024-11-14 04:05:44,2024-11-14 04:05:44,32.27,in,A
2024-11-14 03:14:34,2024-11-14 03:14:34,32.23,in,A
2024-11-13 09:40:31,2024-11-13 09:40:31,32.19,in,A
2024-11-12 09:40:29,2024-11-12 09:40:29,32.19,in,A
2024-11-11 21:40:28,2024-11-11 21:40:28,32.19,in,A
2024-11-11 09:40:28,2024-11-11 09:40:28,32.19,in,A
2024-11-10 21:40:27,2024-11-10 21:40:27,32.19,in,A
2024-11-10 11:13:47,2024-11-10 11:13:47,32.11,in,A
2024-11-10 10:29:08,2024-11-10 10:29:08,32.07,in,A
2024-11-10 10:08:20,2024-11-10 10:08:20,31.99,in,A
2024-11-10 10:00:23,2024-11-10 10:00:23,31.95,in,A
2024-11-10 09:40:26,2024-11-10 09:40:26,31.91,in,A
2024-11-10 08:57:24,2024-11-10 08:57:24,31.84,in,A
2024-11-10 08:25:13,2024-11-10 08:25:13,31.80,in,A
2024-11-10 08:18:13,2024-11-10 08:18:13,31.76,in,A
2024-11-10 07:56:24,2024-11-10 07:56:24,31.68,in,A
2024-11-10 07:22:43,2024-11-10 07:22:43,31.64,in,A
2024-11-10 06:31:04,2024-11-10 06:31:04,31.56,in,A
2024-11-10 06:12:13,2024-11-10 06:12:13,31.52,in,A
2024-11-10 05:20:40,2024-11-10 05:20:40,31.48,in,A
2024-11-09 09:40:24,2024-11-09 09:40:24,31.44,in,A
2024-11-08 21:40:23,2024-11-08 21:40:23,31.44,in,A
2024-11-08 09:40:23,2024-11-08 09:40:23,31.44,in,A
2024-11-07 21:40:22,2024-11-07 21:40:22,31.44,in,A
2024-11-07 09:40:21,2024-11-07 09:40:21,31.44,in,A
2024-11-06 21:40:20,2024-11-06 21:40:20,31.44,in,A
2024-11-06 09:40:20,2024-11-06 09:40:20,31.44,in,A
2024-11-06 07:04:00,2024-11-06 07:04:00,31.44,in,A
2024-11-06 05:20:58,2024-11-06 05:20:58,31.36,in,A
2024-11-06 04:49:58,2024-11-06 04:49:58,31.32,in,A
2024-11-06 04:27:27,2024-11-06 04:27:27,31.28,in,A
2024-11-06 03:59:32,2024-11-06 03:59:32,31.24,in,A
2024-11-05 21:40:19,2024-11-05 21:40:19,31.20,in,A
2024-11-05 09:40:18,2024-11-05 09:40:18,31.20,in,A
2024-11-04 21:40:18,2024-11-04 21:40:18,31.20,in,A
2024-11-04 09:40:17,2024-11-04 09:40:17,31.20,in,A
2024-11-03 21:40:16,2024-11-03 21:40:16,31.20,in,A
2024-11-03 09:40:16,2024-11-03 09:40:16,31.20,in,A
2024-11-02 22:40:15,2024-11-02 22:40:15,31.20,in,A
2024-11-02 10:40:08,2024-11-02 10:40:08,31.20,in,A
2024-11-01 22:40:07,2024-11-01 22:40:07,31.20,in,A
2024-11-01 10:40:06,2024-11-01 10:40:06,31.20,in,A
2024-10-31 22:40:06,2024-10-31 22:40:06,31.20,in,A
2024-10-31 10:40:05,2024-10-31 10:40:05,31.20,in,A
2024-10-30 22:40:04,2024-10-30 22:40:04,31.20,in,A
2024-10-30 10:40:04,2024-10-30 10:40:04,31.20,in,A
2024-10-29 22:40:03,2024-10-29 22:40:03,31.20,in,A
2024-10-28 22:40:02,2024-10-28 22:40:02,31.20,in,A
2024-10-28 16:30:22,2024-10-28 16:30:22,31.20,in,A
2024-10-28 16:27:06,2024-10-28 16:27:06,31.17,in,A
2024-10-28 16:26:07,2024-10-28 16:26:07,31.13,in,A
2024-10-28 10:40:01,2024-10-28 10:40:01,31.09,in,A
2024-10-27 22:40:00,2024-10-27 22:40:00,31.09,in,A
2024-10-27 10:39:59,2024-10-27 10:39:59,31.09,in,A
2024-10-26 22:39:58,2024-10-26 22:39:58,31.09,in,A
2024-10-26 10:39:57,2024-10-26 10:39:57,31.09,in,A
2024-10-25 22:39:57,2024-10-25 22:39:57,31.09,in,A
2024-10-25 10:41:16,2024-10-25 10:41:16,31.09,in,A
2024-10-25 10:39:56,2024-10-25 10:39:56,31.05,in,A
2024-10-25 08:13:33,2024-10-25 08:13:33,31.01,in,A
2024-10-24 22:39:55,2024-10-24 22:39:55,30.97,in,A
2024-10-23 10:39:53,2024-10-23 10:39:53,30.97,in,A
2024-10-22 22:39:52,2024-10-22 22:39:52,30.97,in,A
2024-10-22 10:39:51,2024-10-22 10:39:51,30.97,in,A
2024-10-21 22:39:51,2024-10-21 22:39:51,30.97,in,A
2024-10-21 10:39:50,2024-10-21 10:39:50,30.97,in,A
2024-10-20 22:39:49,2024-10-20 22:39:49,30.97,in,A
2024-10-20 10:39:48,2024-10-20 10:39:48,30.97,in,A
2024-10-19 22:39:47,2024-10-19 22:39:47,30.97,in,A
2024-10-19 10:39:47,2024-10-19 10:39:47,30.97,in,A
2024-10-18 22:39:46,2024-10-18 22:39:46,30.97,in,A
2024-10-18 10:39:45,2024-10-18 10:39:45,30.97,in,A
2024-10-17 10:39:43,2024-10-17 10:39:43,30.97,in,A
2024-10-15 22:39:40,2024-10-15 22:39:40,30.97,in,A
2024-10-15 17:11:16,2024-10-15 17:11:16,30.97,in,A
2024-10-15 13:10:32,2024-10-15 13:10:32,30.93,in,A
2024-10-15 11:28:24,2024-10-15 11:28:24,30.89,in,A
2024-10-15 10:39:39,2024-10-15 10:39:39,30.85,in,A
2024-10-14 22:39:38,2024-10-14 22:39:38,30.85,in,A
2024-10-14 10:39:38,2024-10-14 10:39:38,30.85,in,A
2024-10-14 10:04:30,2024-10-14 10:04:30,30.85,in,A
2024-10-13 22:39:37,2024-10-13 22:39:37,30.81,in,A
2024-10-13 10:39:36,2024-10-13 10:39:36,30.81,in,A
2024-10-12 22:39:35,2024-10-12 22:39:35,30.81,in,A
2024-10-12 10:39:35,2024-10-12 10:39:35,30.81,in,A
2024-10-11 22:39:34,2024-10-11 22:39:34,30.81,in,A
2024-10-11 10:39:33,2024-10-11 10:39:33,30.81,in,A
2024-10-10 22:39:33,2024-10-10 22:39:33,30.81,in,A
2024-10-10 10:39:32,2024-10-10 10:39:32,30.81,in,A
2024-10-09 22:39:31,2024-10-09 22:39:31,30.81,in,A
2024-10-09 10:39:30,2024-10-09 10:39:30,30.81,in,A
2024-10-08 22:39:29,2024-10-08 22:39:29,30.81,in,A
2024-10-08 10:39:29,2024-10-08 10:39:29,30.81,in,A
2024-10-07 22:39:28,2024-10-07 22:39:28,30.81,in,A
2024-10-07 10:39:27,2024-10-07 10:39:27,30.81,in,A
2024-10-06 22:39:27,2024-10-06 22:39:27,30.81,in,A
2024-10-06 10:39:26,2024-10-06 10:39:26,30.81,in,A
2024-10-05 22:39:25,2024-10-05 22:39:25,30.81,in,A
2024-10-05 10:39:25,2024-10-05 10:39:25,30.81,in,A
2024-10-04 10:39:23,2024-10-04 10:39:23,30.81,in,A
2024-10-03 22:39:23,2024-10-03 22:39:23,30.81,in,A
2024-10-03 10:39:22,2024-10-03 10:39:22,30.81,in,A
2024-10-02 22:39:21,2024-10-02 22:39:21,30.81,in,A
2024-10-02 10:39:14,2024-10-02 10:39:14,30.81,in,A
2024-10-01 22:39:13,2024-10-01 22:39:13,30.81,in,A
2024-10-01 21:34:56,2024-10-01 21:34:56,30.81,in,A
2024-10-01 20:55:36,2024-10-01 20:55:36,30.77,in,A
2024-10-01 10:39:13,2024-10-01 10:39:13,30.73,in,A
2024-09-30 22:39:12,2024-09-30 22:39:12,30.73,in,A
2024-09-30 10:39:11,2024-09-30 10:39:11,30.73,in,A
2024-09-29 15:28:46,2024-09-29 15:28:46,30.69,in,A
2024-09-29 14:40:34,2024-09-29 14:40:34,30.65,in,A
2024-09-29 14:09:14,2024-09-29 14:09:14,30.61,in,A
2024-09-29 13:29:42,2024-09-29 13:29:42,30.57,in,A
2024-09-29 10:39:10,2024-09-29 10:39:10,30.54,in,A
2024-09-29 10:30:01,2024-09-29 10:30:01,30.54,in,A
2024-09-29 09:17:13,2024-09-29 09:17:13,30.50,in,A
2024-09-29 06:31:41,2024-09-29 06:31:41,30.46,in,A
2024-09-29 03:43:53,2024-09-29 03:43:53,30.42,in,A
2024-09-29 03:15:33,2024-09-29 03:15:33,30.38,in,A
2024-09-28 22:39:10,2024-09-28 22:39:10,30.34,in,A
2024-09-28 21:08:48,2024-09-28 21:08:48,30.34,in,A
2024-09-28 16:29:43,2024-09-28 16:29:43,30.26,in,A
2024-09-28 10:39:09,2024-09-28 10:39:09,30.22,in,A
2024-09-27 22:40:08,2024-09-27 22:40:08,30.22,in,A
2024-09-27 22:39:08,2024-09-27 22:39:08,30.18,in,A
2024-09-27 19:11:15,2024-09-27 19:11:15,30.18,in,A
2024-09-27 18:52:57,2024-09-27 18:52:57,30.14,in,A
2024-09-27 17:55:15,2024-09-27 17:55:15,30.02,in,A
2024-09-27 17:44:33,2024-09-27 17:44:33,29.98,in,A
2024-09-27 17:27:32,2024-09-27 17:27:33,29.90,in,A
2024-09-27 17:19:04,2024-09-27 17:19:04,29.83,in,A
2024-09-27 17:13:50,2024-09-27 17:13:50,29.79,in,A
2024-09-27 16:53:42,2024-09-27 16:53:42,29.67,in,A
2024-09-27 16:43:56,2024-09-27 16:43:56,29.63,in,A
2024-09-27 16:37:07,2024-09-27 16:37:07,29.59,in,A
2024-09-27 16:30:16,2024-09-27 16:30:16,29.55,in,A
2024-09-27 16:21:22,2024-09-27 16:21:22,29.51,in,A
2024-09-27 16:14:51,2024-09-27 16:14:51,29.47,in,A
2024-09-27 16:08:48,2024-09-27 16:08:48,29.43,in,A
2024-09-27 16:00:21,2024-09-27 16:00:21,29.39,in,A
2024-09-27 15:13:07,2024-09-27 15:13:07,29.23,in,A
2024-09-27 14:58:16,2024-09-27 14:58:16,29.20,in,A
2024-09-27 12:43:46,2024-09-27 12:43:46,29.16,in,A
2024-09-26 22:39:07,2024-09-26 22:39:07,29.08,in,A
2024-09-26 10:39:07,2024-09-26 10:39:07,29.08,in,A
2024-09-26 00:30:51,2024-09-26 00:30:51,29.08,in,A
2024-09-25 22:39:06,2024-09-25 22:39:06,29.04,in,A
2024-09-25 10:39:05,2024-09-25 10:39:05,29.04,in,A
2024-09-24 10:39:04,2024-09-24 10:39:04,29.04,in,A
2024-09-24 07:29:25,2024-09-24 07:29:25,29.04,in,A
2024-09-23 22:39:04,2024-09-23 22:39:04,28.96,in,A
2024-09-23 10:39:03,2024-09-23 10:39:03,28.96,in,A
2024-09-23 06:33:32,2024-09-23 06:33:32,28.96,in,A
2024-09-23 01:26:05,2024-09-23 01:26:05,28.92,in,A
