Reading,Receive,Value,Unit,Data Quality
2024-10-24 02:00:11,2024-10-24 02:00:11,21.20,in,A
2024-10-23 14:03:06,2024-10-23 14:03:06,21.20,in,A
2024-10-23 02:06:00,2024-10-23 02:06:00,21.20,in,A
2024-10-22 14:08:54,2024-10-22 14:08:54,21.20,in,A
2024-10-22 02:11:49,2024-10-22 02:11:49,21.20,in,A
2024-10-21 14:14:43,2024-10-21 14:14:43,21.20,in,A
2024-10-21 02:17:38,2024-10-21 02:17:38,21.20,in,A
2024-10-20 14:20:32,2024-10-20 14:20:32,21.20,in,A
2024-10-20 02:23:26,2024-10-20 02:23:26,21.20,in,A
2024-10-19 14:26:20,2024-10-19 14:26:20,21.20,in,A
2024-10-19 02:29:15,2024-10-19 02:29:15,21.20,in,A
2024-10-18 14:32:09,2024-10-18 14:32:09,21.20,in,A
2024-10-18 02:35:03,2024-10-18 02:35:03,21.20,in,A
2024-10-17 14:37:57,2024-10-17 14:37:57,21.20,in,A
2024-10-17 02:40:51,2024-10-17 02:40:51,21.20,in,A
2024-10-16 14:43:46,2024-10-16 14:43:46,21.20,in,A
2024-10-16 02:46:40,2024-10-16 02:46:40,21.20,in,A
2024-10-15 18:28:03,2024-10-15 18:28:03,21.20,in,A
2024-10-15 14:49:34,2024-10-15 14:49:34,21.16,in,A
2024-10-15 14:44:16,2024-10-15 14:44:16,21.16,in,A
2024-10-15 13:50:50,2024-10-15 13:50:50,21.12,in,A
2024-10-15 13:44:00,2024-10-15 13:44:00,21.08,in,A
2024-10-15 13:40:23,2024-10-15 13:40:23,21.04,in,A
2024-10-15 13:34:49,2024-10-15 13:34:49,21.00,in,A
2024-10-15 02:52:28,2024-10-15 02:52:28,20.96,in,A
2024-10-14 02:58:17,2024-10-14 02:58:17,20.96,in,A
2024-10-13 15:01:11,2024-10-13 15:01:11,20.96,in,A
2024-10-13 03:04:06,2024-10-13 03:04:06,20.96,in,A
2024-10-12 15:07:00,2024-10-12 15:07:00,20.96,in,A
2024-10-12 03:09:55,2024-10-12 03:09:55,20.96,in,A
2024-10-11 15:12:49,2024-10-11 15:12:49,20.96,in,A
2024-10-11 03:15:43,2024-10-11 03:15:43,20.96,in,A
2024-10-10 15:18:38,2024-10-10 15:18:38,20.96,in,A
2024-10-10 03:21:32,2024-10-10 03:21:32,20.96,in,A
