depth,shift,discharge,flag
4.53,-0.13,33.00,
4.54,-0.13,34.07,
4.55,-0.13,35.14,
4.56,-0.13,36.22,
4.57,-0.13,37.31,
4.58,-0.13,38.41,
4.59,-0.13,39.52,
4.60,-0.13,40.63,*
4.61,-0.13,41.74,
4.62,-0.13,42.87,
4.63,-0.13,44.00,
4.64,-0.13,45.34,
4.65,-0.13,46.69,
4.66,-0.13,48.06,
4.67,-0.13,49.44,
4.68,-0.13,50.84,
4.69,-0.13,52.24,
4.70,-0.13,53.66,*
4.71,-0.13,55.10,
4.72,-0.13,56.54,
4.73,-0.13,58.00,
4.74,-0.13,59.62,
4.75,-0.13,61.26,
4.76,-0.13,62.92,
4.77,-0.13,64.59,
4.78,-0.13,66.28,
4.79,-0.13,67.99,
4.80,-0.13,69.72,*
4.81,-0.13,71.46,
4.82,-0.13,73.22,
4.83,-0.13,75.00,
4.84,-0.13,76.82,
4.85,-0.13,78.66,
4.86,-0.13,80.52,
4.87,-0.13,82.39,
4.88,-0.13,84.28,
4.89,-0.13,86.19,
4.90,-0.13,88.12,*
4.91,-0.13,90.06,
4.92,-0.13,92.02,
4.93,-0.13,94.00,
4.94,-0.13,96.02,
4.95,-0.13,98.06,
4.96,-0.13,100.11,
4.97,-0.13,102.19,
4.98,-0.13,104.28,
4.99,-0.13,106.39,
5.00,-0.13,108.52,*
5.01,-0.13,110.66,
5.02,-0.13,112.82,
5.03,-0.13,115.00,
5.04,-0.13,117.40,
5.05,-0.13,119.82,
5.06,-0.13,122.26,
5.07,-0.13,124.73,
5.08,-0.13,127.21,
5.09,-0.13,129.73,
5.10,-0.13,132.26,
5.11,-0.13,134.82,
5.12,-0.13,137.40,
5.13,-0.13,140.00,
5.14,-0.13,142.51,
5.15,-0.13,145.05,
5.16,-0.13,147.60,
5.17,-0.13,150.18,
5.18,-0.13,152.77,
5.19,-0.13,155.38,
5.20,-0.13,158.02,*
5.21,-0.13,160.67,
5.22,-0.13,163.34,
5.23,-0.13,166.03,
5.24,-0.13,168.74,
5.25,-0.13,171.47,
5.26,-0.13,174.22,
5.27,-0.13,176.99,
5.28,-0.13,179.78,
5.29,-0.13,182.58,
5.30,-0.13,185.41,
5.31,-0.13,188.25,
5.32,-0.13,191.12,
5.33,-0.13,194.00,
5.34,-0.13,197.08,
5.35,-0.13,200.19,
